# threshold  best_bic
1.256159713349770257e+01 3.953539702402536022e+02
1.645787359287454166e+01 8.117086532996108872e+01
1.635714106460908113e+01 5.512210852486259682e+01
1.732077415729355607e+01 3.229202539407197037e+01
1.766812060709602150e+01 1.265730164611613873e+01
