,index,name,teff,teff_err,teff_seg_std,teff_uncal,logg,logg_err,logg_seg_std,logg_uncal,fe,fe_err,fe_seg_std,fe_uncal,vsini,vsini_err,iso_mass,iso_mass_err1,iso_mass_err2,iso_radius,iso_radius_err1,iso_radius_err2,iso_logage,iso_logage_err1,iso_logage_err2,iso_age,iso_age_err1,iso_age_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_fe,iso_fe_err1,iso_fe_err2,iso_parallax,iso_parallax_err1,iso_parallax_err2
0,0,185144,5246.377143584999,100.0,68.50157099409999,5319.328944485,4.61576629714,0.1,0.151730563331,4.59017702797,-0.1417745253385,0.06,0.06899392420415,-0.17946135129750002,2.573099283195e-07,,0.8032097228195,0.03421101967885,-0.033167011619699996,0.773993861346,0.0366274385741,-0.0287357456563,9.752766255025,0.273271259132,-0.5013513186085,,4.9584209463699995,-3.87524889099,5233.669840625,92.7751368811,-102.31459082699999,4.56312177348,0.03192618090135,-0.0416919303362,-0.170345676721,0.06106111808689999,-0.062224887223350005,6.25938100988,0.3007957197165,-0.32024215324
1,1,196850,5735.351071380001,100.0,27.97485450085,5780.03966312,4.234958386105,0.1,0.10848334754649999,4.229881327355,-0.08489521817529999,0.06,0.043140854089750005,-0.1143633391765,0.048200370386599994,,0.9208997722645,0.046362380084,-0.0387169854046,1.13002651229,0.156767389058,-0.12281429724099999,10.005741069,0.0818304848417,-0.12438960150299999,,2.101013597125,-2.54679697535,5745.1468208900005,92.30619778175,-83.02427172175,4.284560481735,0.09575128423605,-0.10245865730550001,-0.1028414555895,0.05936723320665,-0.06036692834885,4.055501404539999,0.506389872453,-0.4958621016115
2,2,1461,5715.952867284999,100.0,93.27192422614999,5761.7626957,4.185428510695,0.1,0.107460808196,4.32273625098,0.20904611269850001,0.06,0.0770245868553,0.22205067981100002,0.167521993559,,1.0654888316100002,0.07971544044365,-0.0597370568306,1.314294485665,0.17818256278900002,-0.15726870470249998,9.85721390866,0.11210145485,-0.1470703311235,,2.1196271360549996,-2.06023536073,5725.503476605,93.83671207435,-104.13067102900001,4.218592790235,0.09705100467105,-0.08839440618955,0.19070771839,0.058733211522,-0.06296745826950001,3.479596768805,0.48501053216400003,-0.4231938395385
3,5,11964a,5330.85555434,100.0,70.27444470674999,5398.924413925,3.8938921777249997,0.1,0.13482229206649998,3.9961051814650004,0.1520352590325,0.06,0.077378103246,0.156802113539,0.5383261105055,,1.06990154351,0.1320189495545,-0.0838659425139,1.8612719953099999,0.31643481866150003,-0.22603203821450002,9.952193652350001,0.125286616047,-0.18596459768899998,,2.9954610529799996,-3.124912402755,5339.933011589999,97.97342559139999,-99.5701463597,3.91871674162,0.0805934553509,-0.08659025459229999,0.1311824149415,0.060705663604650004,-0.06230535036805,2.56055203182,0.3540544526675,-0.3713361565605
4,6,190360,5553.933328015,100.0,92.7600355735,5609.108056815,4.12281455366,0.1,0.135072860432,4.281672263095,0.256025464866,0.06,0.07825378982245,0.27581825521500003,0.5452587089409999,,1.03076600397,0.06966934904725,-0.05331525220685,1.36789996653,0.1937941369255,-0.166507391726,9.98163310532,0.08648823007295,-0.109156769879,,2.11198868502,-2.130200892835,5562.669347270001,103.5327558675,-91.99359674044999,4.17049583805,0.09808533085905,-0.09646787208720001,0.23712920347549998,0.06077035582435,-0.061936349168999996,3.393988280855,0.4755656850755,-0.4273140997575
5,7,10700,5208.893781575,100.0,83.35092746744999,5284.012160365,4.4658503790249995,0.1,0.2174206357005,4.286353110005001,-0.4559817391935,0.06,0.0828517647232,-0.539069546898,1.39060456261e-07,,0.722440618964,0.02889628769155,-0.02621189134245,0.708238209342,0.028783805715500002,-0.025643885910849998,9.93012856192,0.15983024271149998,-0.3830039244675,,3.787440323765,-4.988985920055,5223.02401639,97.33214551995002,-96.76884217705,4.5936680522549995,0.03127901402225,-0.0317854053515,-0.47481764736300003,0.0616730699689,-0.061214116956950004,6.891782257689999,0.32402754511849996,-0.32729504540300003
6,8,gl876,5249.62917721,100.0,990.77624572,5322.39300714,4.64506075175,0.1,0.7839079357080001,4.28376162041,-0.7214740404440001,0.06,1.00792730402,-0.842923829004,39.749024847,,0.6795212888879999,0.0282759863776,-0.0250144962849,0.648432616723,0.0233932679264,-0.0200996065642,9.81549266481,0.23693038023000002,-0.480676494422,,4.74424104934,-4.37691558604,5255.15364392,93.83931285870001,-101.980112574,4.64611730911,0.025020993193,-0.0278296136648,-0.743136178969,0.0618488458791,-0.0608772165666,7.524000189089999,0.318765336814,-0.322885812291
7,9,hip109388,5003.19631729,100.0,956.00836312,5090.20422664,4.61564948314,0.1,0.843345170283,4.34567036322,-0.8353254439300001,0.06,0.866676964787,-0.97322604986,62.9757272542,,0.625679105924,0.021746369355,-0.0198275568108,0.591060831676,0.0166352496925,-0.0162169148982,9.83811430614,0.222674627469,-0.469630290444,,4.61407664551,-4.55227561078,4992.07613694,100.235650658,-98.5686109015,4.69086377054,0.019552999064900004,-0.0220466065195,-0.8623823961120001,0.0609219545286,-0.062078790719499996,8.5138450705,0.34073353338600004,-0.32387957404199996
8,10,33334,5643.55013904,100.0,100.409305026,5693.54492157,4.2562466254,0.1,0.163808876148,4.32538389675,0.0661418452664,0.06,0.0826677373245,0.058497637459399995,1.21056279387,,0.95436987088,0.048674335396300006,-0.041335324905400005,1.1268548833299998,0.15138381542999998,-0.117231768451,9.98468726388,0.0930373431096,-0.153349300371,,2.3062642505,-2.87186428175,5649.61069645,94.5203645339,-85.8078807192,4.302730435319999,0.09307417422430002,-0.09977214150589998,0.04700393317130001,0.0598493895817,-0.060751016031099996,4.09447872268,0.49142181588999995,-0.491703399027
9,12,34887,5598.74501345,100.0,100.675291058,5651.32957953,4.21940430967,0.1,0.14640194252900002,4.45037171065,0.40254558907,0.06,0.078886629815,0.44350962307999997,1.62088926386,,1.09300038422,0.0798942350755,-0.059070686336,1.2905850970000001,0.17437470852899997,-0.154250436045,9.82365389636,0.129770569162,-0.14421402891100002,,2.32030760915,-1.88262404815,5609.24783467,83.5870781114,-100.14507650200001,4.24330134916,0.09860676385889999,-0.0869212261042,0.37704411434199997,0.053925645862699996,-0.0595290322892,3.57360309751,0.499931837934,-0.43656057678099996
