,name,mass_mean,mass_median,umass1,umass2,mass_std
776,htr176-001,1.26563514409,1.26563514409,0.055575166288300004,-0.054012200588350004,0.022930360530000082
777,hip32769,0.6829086171534999,0.6824351330685,0.027170672554149997,-0.024383160189949998,0.0012731387626419785
778,hip38117,0.7318863965469999,0.7318863965469999,0.029457629032,-0.028363092059,0.0
779,hip42567,0.7473424546490001,0.7473424546490001,0.028016836008700002,-0.0284616351762,0.0
780,hip40671,0.7374496761730001,0.7374496761730001,0.0283013713704,-0.0285861541664,0.0
781,hip44072,0.5880602596836667,0.588112243748,0.02233885495346667,-0.0211147786591,0.00015811176692603248
782,hip43667,0.7140170906550001,0.7140170906550001,0.029806629262099996,-0.0273960393988,0.0
783,hip43534,0.6338786456384999,0.6338786456384999,0.0249851046731,-0.02284170799755,0.0005758858605000028
784,htr196-007,0.678305500211,0.678305500211,0.025652220579,-0.0223691313778,0.0
785,htr294-003,1.089705690305,1.089705690305,0.06399180055995,-0.05407953496975,0.006552210194999963
786,hip5247,0.6187712232989999,0.6187712232989999,0.022866292748699998,-0.0222221776707,0.0
787,10436,0.628120037521,0.628120037521,0.0242709837005,-0.022197242302200004,0.0
788,hip30979,0.7784151391040001,0.7784151391040001,0.0301077353724,-0.0274368650027,0.0
789,hip40375,0.7073182999203333,0.707824575711,0.030602553180566667,-0.026716530337900002,0.0009583718263912163
790,hip36551,0.639324494756,0.639324494756,0.024623271260900005,-0.0221421799822,0.0
791,158633,0.7418560080550001,0.7418560080550001,0.029305239214199995,-0.02898738233195,0.0003909805279999623
792,156985,0.732997000854,0.732997000854,0.030617176257050002,-0.0283997740648,0.0010064085330000472
793,vulcan5270,1.18264101017,1.18264101017,0.044323674739499996,-0.0481279034814,0.0
794,217591,1.26994517787,1.26994517787,0.222966418186,-0.221820353301,0.0
795,220339,0.73074473140325,0.7306670282755,0.031130909287775003,-0.029243994842700002,0.0004645902814388421
796,4628,0.726160055427,0.726320083575,0.03027409316416,-0.029076877404099997,0.0010805452194771225
797,4915,0.88756000158075,0.888066433356,0.039007915550449995,-0.038570450022149996,0.006284970779358799
798,1293,1.1205825431249998,1.1205825431249998,0.239537577728,-0.1845224267015,0.018564533085000057
799,gl87,0.5367260045365,0.5367260045365,0.018394149719199997,-0.01962302865665,0.024176413970499966
800,hip10416,0.7808187357999999,0.7808187357999999,0.0300206471844,-0.0289353024946,0.0
801,hip1294,0.772480374885,0.772480374885,0.029544146633099996,-0.028552508233,0.0
802,ngc188-pkm-5383,1.08163532538,1.08163532538,0.10292849709799999,-0.08298773202880001,0.0
803,ngc188-pkm-4656,1.11554980355,1.11554980355,0.10778610301699999,-0.0893351741033,0.0
804,17230,0.702915813402,0.704195134766,0.029038217160266666,-0.025758545398466667,0.0018158908016327104
805,hip14729,0.7543917154809999,0.7543917154809999,0.0284478349157,-0.02783692707875,0.000744455360000007
806,17660,0.7880048408399999,0.7880048408399999,0.0281165412738,-0.0258993229259,0.0
807,hip17496,0.697971184855,0.697971184855,0.0305051283839,-0.025287726941400003,0.0
808,hip15095,0.634531283167,0.634531283167,0.024955966905500004,-0.02266286516635,0.0002645893440000324
809,hip17346,0.733041842697,0.733041842697,0.028235099901099996,-0.028131752899599998,0.0
810,31560,0.762571715674,0.762571715674,0.029543422620599995,-0.028146553121500002,0.0
811,hip23516,0.6942010108159999,0.6942010108159999,0.0284531126524,-0.024835341863799997,0.0
812,24451,0.725298620709,0.725298620709,0.0280265893468,-0.0290808097603,0.0
813,hip15673,0.633502785081,0.633502785081,0.0239046624955,-0.021229548908500002,0.0
814,hip32919,0.6802033798853334,0.6802449269474999,0.026370888285900004,-0.0241975102805,0.00011196583421425704
815,47752,0.7142951536,0.7142951536,0.0287599713188,-0.028083381828700002,0.0
816,hip25220,0.733110619145,0.733110619145,0.0284615499735,-0.0290542765609,0.0
817,hip24121,1.30550920946,1.30550920946,0.423076934576,-0.285953274295,0.0
818,61005,0.970854632951,0.970854632951,0.0413615564718,-0.040072930285300006,0.0
819,200491,2.13012183539,2.13012183539,0.223527875443,-0.337971586091,0.0
820,187460,1.0854668514299999,1.0854668514299999,0.233394338664,-0.12473272445999999,0.0
821,171264,1.26211307556,1.26211307556,0.160530274524,-0.16798056190400001,0.0
822,193391,1.69977377065,1.69977377065,0.426956276819,-0.28805200429,0.0
823,188386,1.3276324295999997,1.3263620533299998,0.22459535450066667,-0.23017076945933335,0.002114287419767637
824,180902,1.36376398185,1.36376398185,0.18250116649,-0.192133902204,0.0
825,181342,1.5680704316799998,1.5680704316799998,0.33048226577,-0.222211733374,0.0
826,192153,1.06868668761,1.06868668761,0.181635747943,-0.123790124575,0.0
827,195824,1.31970685251,1.31970685251,0.180964871998,-0.19732029994800002,0.0
828,196645,1.2611443097200001,1.2611443097200001,0.17559722065299999,-0.184111504776,0.0
829,208585,1.31092735822,1.31092735822,0.22283119664999998,-0.227771660881,0.0
830,198060,0.9590833841230001,0.9590833841230001,0.12261255355699999,-0.0716487221475,0.0
831,200081,2.0870910302400003,2.0870910302400003,0.22072269264000002,-0.541527357683,0.0
832,202867,1.27034693664,1.27034693664,0.16999134605900001,-0.181704078232,0.0
833,206635,1.00961105652,1.00961105652,0.17621247897999998,-0.08826866542989999,0.0
834,210521,1.33512771249,1.33512771249,0.201401511525,-0.214672409157,0.0
835,212771,1.29913649615,1.29913649615,0.201860597993,-0.213115967549,0.0
836,213278,1.1842590907500001,1.1842590907500001,0.18284704182,-0.172582556778,0.0
837,215049,1.26466172309,1.26466172309,0.165799310014,-0.166378067344,0.0
838,216834,1.08195085935,1.08195085935,0.232010200692,-0.155390564263,0.0
839,217496,1.29798846693,1.29798846693,0.175424174756,-0.189835883444,0.0
840,217681,1.3990114204700002,1.3990114204700002,0.183645732166,-0.17810950532699998,0.0
841,219553,1.50924647197,1.50924647197,0.289405351491,-0.21770210765999998,0.0
842,220122,2.01019724393,2.01019724393,0.338629922072,-0.52111535325,0.0
843,221504,1.23327079311,1.23327079311,0.131976271698,-0.110346961387,0.0
844,222112,1.5467530000100003,1.5467530000100003,0.568440482202,-0.268749057278,0.0
845,224679,1.22227612672,1.22227612672,0.12491379137599999,-0.107077524242,0.0
846,223627,1.32702368216,1.32702368216,0.25415015741700003,-0.236967834617,0.0
847,215908,1.17349555029,1.17349555029,0.22358648008499998,-0.194923007434,0.0
