,hostname,mass,mass_med,mass_minus,mass_plus,axis,axis_med,axis_minus,axis_plus,per,per_med,per_minus,per_plus,e,e_med,e_minus,e_plus,status,sep,sep_med,sep_minus,sep_plus,teff_c,teff_err_c,fe_c,fe_err_c,logg_c,logg_err_c,radius_c,radius_err_c,mass_c,mass_err_c,iso_parallax_emp,logrhk
0,145675,5.930103720552072,6.186677454154405,5.341437741585088,7.168676434287031,15.947416232161787,17.505125482694414,13.998808320646367,23.071286779578642,23294.339956990698,26801.405919262066,19175.274377341964,40530.007385648685,0.4279513296933648,0.4657018234172533,0.3624074638645877,0.5742898898098944,C,0.888849975340639,0.9756709254411007,0.7802417802020422,1.285908161332629,5358.4014128,100.0,0.40521255181550003,0.04655692891465,4.42695283678,0.030860122774525,0.9958193059995,0.021651852892900003,0.969204522903,0.042098250566,0.0557363,-5.07
1,114783,0.6357779393991155,0.6397283955480932,0.5924645941729109,0.6874320525533238,4.959465082863498,4.98184687458631,4.8648108236343806,5.114643595250397,4329.446637269324,4358.684203176204,4230.940284446098,4510.225377087672,0.11461349196954485,0.101066043212755,0.04360078069089096,0.16289350893869828,K,0.23531769114472384,0.23637966687474618,0.23082651692196882,0.24268063223615988,5132.6060992,100.0,0.150967213171,0.0580879496899,4.52559886542,0.0271870039468,0.840621854766,0.01657380318045,0.866924837894,0.0358288689888,0.0474482,-5.0
2,134987,0.9536094283432728,0.9515996284798568,0.8754602765549324,1.0324595412853903,6.722455390059463,6.756414605108706,6.542676915488317,6.972130864987268,5938.9713999405,5980.288257226702,5823.006122239878,6161.814672465074,0.1572840715165694,0.14094094610231514,0.0845422801470115,0.19456852556535786,K,0.2565813328367117,0.25787748136486816,0.2497195839749751,0.26611089642866115,5731.363753785001,100.0,0.2822240170435,0.060584032582800006,4.25236378431,0.029083980017550002,1.2923031639649998,0.030885456066799998,1.092644494565,0.047483545901724995,0.038167800000000016,-5.08
3,154345,1.1150519847697618,1.1194736787328579,1.0758037010412873,1.1637014769636396,4.125547609958226,4.1253039565759,4.061937384147104,4.187812771416622,3267.374434623712,3267.9152299711077,3239.952461500353,3295.6177734824078,0.028497176648957456,0.021703233246380904,0.006510413956361057,0.04404029932175926,K,0.2255172843317125,0.22550396536068237,0.2220401203920636,0.22892092221160967,5472.86879027,100.0,-0.0699426057213,0.05966671056585,4.50528276011,0.0321586595551,0.870050324959,0.01872985716305,0.8863937369660001,0.0409331960001,0.0546636,-4.83
4,190360,1.5379233828281251,1.5370870796352547,1.4731914748202226,1.6007524291875357,4.0055408913146,4.005625670010148,3.9241500205998032,4.084197372969002,2884.0999684047715,2884.0338484849585,2878.9089041165944,2889.1943423698435,0.32327674839023185,0.32282633574649844,0.3143164535820812,0.3316830420879566,K,0.25012319707951625,0.2501284910258147,0.2450408011313403,0.25503484601688825,5556.03268694,100.0,0.22971943593600005,0.0606540394262,4.29815835666,0.0278100687073,1.16561598876,0.0263855840149,0.9863426453065,0.0390397657589,0.0624443,-5.11
5,213472,3.299509446457442,2.931,2.644,3.3680000000000003,10.830312388934452,13.75,11.11,19.4,12704.990882023567,18205.0,13221.0,30195.0,0.4977059643497186,0.5660000000000001,0.484,0.68,C,0.1677225497799945,0.21293800000000002,0.172053904,0.30043616,5716.38094307,100.0,0.124936876484,0.062411022539400014,4.1449212845300005,0.03156082743045,1.43390156808,0.033485800624,1.0481317094299998,0.05066557164175,0.0154864,-5.1
6,217107,4.451625619304704,4.4492881445550525,4.233453486619837,4.660173054339458,6.037946428488241,6.044655264711425,5.900796181945188,6.1810854497061545,5135.137003049645,5142.9340299632595,5129.701761513243,5155.97342245942,0.39646194975575616,0.3950634561974367,0.38824788717324,0.4019308362891264,K,0.30079237722799873,0.30112659132212904,0.2939599633959635,0.3079231338480115,5640.61342451,100.0,0.33991790200099997,0.059716086966175,4.3250075846,0.0300946839734,1.1719496616349998,0.02753162653965,1.059630828825,0.044706138025725,0.049817,-5.09
7,219134,0.31769778897753603,0.3155375338148148,0.3012232392454439,0.32979347200244313,2.9146904207604627,2.916761478127772,2.8757992611963634,2.9572563384668418,2040.5441705649484,2042.7310439042112,2023.139600718064,2062.816909429734,0.11212490589636456,0.09999552798154072,0.05989772151211568,0.1398060452252636,K,0.4461831413623482,0.44650018048098183,0.44022965154334825,0.4526991660975749,4839.53210581,100.0,0.08341678484494999,0.058479179434525,4.57489210819,0.021158567368225,0.7574656269225,0.012968110872,0.7884835709514999,0.02665375621485,0.1530808,-4.86
8,22049,0.6977703035288554,0.6949833700958981,0.6555511404252082,0.7347561231101656,3.512897999532783,3.507675924283056,3.4577039484557717,3.55704122001167,2643.527080942325,2637.8153162463473,2616.049004791936,2659.907238639264,0.09647423875304596,0.11222701901045654,0.042049714612113966,0.1901424071833928,K,1.0923005039747236,1.0906767518965734,1.0751384657328376,1.1060263969504287,5124.85047148,100.0,-0.043887015946950006,0.0582908691902,4.590099622555,0.018240291712224996,0.759105669745,0.011816336220924999,0.8145954513105,0.024151859262575,0.31094,-4.44
9,26161,4.672,4.672,4.041,5.7189999999999985,14.94,14.94,11.75,19.09,18931.0,20448.0,14105.0,28702.0,0.74,0.7534,0.7090000000000001,0.8066,J,0.36473619599999996,0.36473619599999996,0.28685744999999996,0.46605180599999996,6064.26855957,100.0,-0.00947934139987,0.059315874484000004,4.163475865495,0.027332221168075,1.45598061808,0.0315741303486,1.1329158270750002,0.053844300904924994,0.0244134,-4.98
10,50499,3.322344767194191,3.659794648191632,2.9731513810902297,5.005800401328793,10.0116174913012,11.729576455956082,9.71788265461654,20.60978546604186,10120.710242939987,12826.763985419919,9699.560190716877,29930.150782673863,0.26608689111017364,0.3355419375038448,0.21718174975849688,0.5565786586843194,K,0.21601566480106033,0.2530832064019364,0.20967789509733376,0.44468703610805216,6006.828679485,100.0,0.304719969648,0.061117382615550005,4.222344451285,0.023579757292825004,1.432953934685,0.033661591419825,1.253183941175,0.03493076347165,0.0215765,-5.04
11,75732,4.427017396095397,4.40726408851658,3.9931760247580432,4.953756525297224,5.85425139886413,5.8368449828212,5.7467286575569485,5.925073205089919,5208.56957749115,5190.699586451447,5131.3574080022445,5234.296179391748,0.0926612718354156,0.09819492855230004,0.08486510323609585,0.11298158631737736,K,0.46498796755814076,0.46360542118853254,0.45644771577523874,0.47061315948995897,5363.349843675,100.0,0.38330181144000003,0.055007051663050005,4.458130870405,0.031659628255475,0.9644114558605,0.020816300504175,0.9747075631700001,0.045056479440925,0.0794274,-4.93
12,87883,2.290214586661854,2.285733005683125,2.217207893986463,2.3551441812253007,4.0774300665753325,4.081737485032061,4.023589631811512,4.138133977947471,3308.630551550147,3313.5150151317384,3285.0595094794207,3343.3865363852174,0.7137094385995356,0.7139851776059518,0.7054472981395186,0.7227119752148081,K,0.22279934144081592,0.22303470783087032,0.21985738702040775,0.22611633063640346,4979.99300821,100.0,0.104494328664,0.057061372779,4.54861954443,0.024343829151050003,0.798557299531,0.014354279851950001,0.8257661823319999,0.03177609179705,0.054642099999999985,-4.82
13,92788,2.87056203613296,2.876056977303152,2.670554309787581,3.096443660471075,8.366756963305264,8.332286277224176,8.002340527738866,8.746209152308147,8381.125100963487,8322.223643510493,7913.025391600986,8890.756861176586,0.3599522015384135,0.35121012964448817,0.2964853406111892,0.4097144604727046,K,0.24119770641386046,0.24020398202844626,0.2306922729677088,0.25213659206365446,5732.29309767,100.0,0.27701549506900003,0.0613224078115,4.338021070980002,0.03003890373925,1.1619547172700002,0.0273664501846,1.07574996245,0.0439659621572,0.0288281,-4.98
14,95735,0.08668975590128797,0.0776356466780881,0.06670105358343667,0.08937693526606502,3.2874925990426624,3.386528378709192,3.2636379020226225,3.541942830851424,2833.413065596415,2961.6901483386323,2810.6327917153985,3162.729113189491,0.2449217491850595,0.17983078200018013,0.05872201535051225,0.3247289669400498,C,1.290801094088111,1.329686502616377,1.2814347858501625,1.390708433105503,3513.0,70.0,-0.361208354176,0.08169556981010001,4.89504039811,0.008878204843474999,0.36908341757,0.006667376974874999,0.391846351479,0.008168078477620001,0.39264,-5.39
