,curv,dvdt,e1,e2,e3,e4,gamma_apf,gamma_j,gamma_k,gamma_lick,jit_apf,jit_j,jit_k,jit_lick,k1,k2,k3,k4,num_planets,per1,per2,per3,per4,secosw1,secosw2,secosw3,secosw4,sesinw1,sesinw2,sesinw3,sesinw4,star,tc1,tc2,tc3,tc4,tp1,tp2,tp3,tp4,w1,w2,w3,w4
36,-1.065405112370936e-06,0.0024533723798807645,,,,,,1.262383952234201,-2.0009105305187154,15.168264812287811,,3.5827343207573183,7.4711575331314055,9.287524698996181,59.57724382471157,,,,1,227.13535220051608,,,,0.5119902389775601,,,,0.15858211916402154,,,,8574,32.811084083727515,,,,,,,,,,,
37,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,hip428,,,,,,,,,,,,
38,1.7922204771374282e-06,-0.09264374293105938,,,,,,116.53183436232786,91.76594867221911,,,1.7538112191133517,309.0139750109171,,8.508466774257954,3.566496874308937,,,2,3388.5575244161114,40.73281877015723,,,0.6125128649561317,0.29093785790898113,,,0.2363081862692907,-0.7068264567818746,,,4747,3598.9125119962355,2455188.0621437193,,,,,,,,,,
39,-6.032162573153481e-05,0.13186554523956712,,,,,,24.003731516453268,26.00989913255244,,,3.4893090248198058,3.7134911707774676,,205.23093374391257,,,,1,7525.4567940389015,,,,0.144865889750514,,,,0.26577443782281923,,,,3795,-2818.687840520037,,,,,,,,,,,
40,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,377,,,,,,,,,,,,
41,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,8389,,,,,,,,,,,,
42,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,,,,,,0,,,,,,,,,,,,,gl48,,,,,,,,,,,,
43,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,4256,,,,,,,,,,,,
44,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,,,,,,0,,,,,,,,,,,,,9562,,,,,,,,,,,,
45,4.38622433361013e-08,-0.0008883548323190264,,,,,1.932825696942148,0.6626024831790128,1.1932088279252633,,1.1043236277294453,1.9649490467490995,2.6698605079031945,,2.931246731066709,,,,1,11.44249922805173,,,,-0.13470370626650957,,,,0.1355450732264826,,,,1326,-5.747149562318226,,,,,,,,,,,
46,3.034667390085931e-07,-0.0012507309720868518,,,,,,0.05858715295216592,-5.9383997262238655,,,2.7459864238141503,5.992434060819974,,4.206590205640157,,,,1,1243.538611768673,,,,0.0005484425950955109,,,,-0.6289284300513082,,,,3765,-378.9005615764237,,,,,,,,,,,
47,-1.3270647865553445e-07,0.0009258735594841679,,,,,-1.7349217829349457,-2.8696986573712278,3.977298047648296,-0.07768939132080727,1.6388467468715688,2.502380906088723,3.6872051271551136,4.495698087686496,15.59594528722494,3.1877784355362406,,,2,62.23596901535096,5165.399675322987,,,-0.3387071205949561,-0.15536794922207228,,,-0.7053698286028156,-0.7994924533613195,,,3651,76.40351882006463,2452782.331365961,,,,,,,,,,
48,2.27143772378842e-07,-0.0009636762564500602,,,,,-0.5256226775815165,-2.123442619640069,-8.215896148887229,,2.9071022396243906,4.148447348312461,4.69662250228734,,2.2394299619538525,,,,1,13.504327905849163,,,,-0.42482729101527594,,,,0.16052411662653882,,,,1461,5.942611703139466,,,,,,,,,,,
49,5.164992195520778e-08,-8.438978909541392e-05,,,,,-0.24486301137405808,-1.0700016919461692,-1.806453601374206,,1.434469152587737,2.1660058252742185,1.2279360227504434,,1.1386267319571806,,,,1,121.89979984942511,,,,0.19617865696702708,,,,-0.4415694092147589,,,,9407,-705.3710275454588,,,,,,,,,,,
50,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,10145,,,,,,,,,,,,
51,-1.4313300445334067e-07,0.0006775177620422654,,,,,-0.6621592875219695,-2.3902789286583905,3.0695447779482117,0.3192700632253872,2.405229412099771,2.6654140221144687,5.652528130042969,4.86493875646778,1.97507580793531,,,,1,354.86924338378,,,,0.07267609748000964,,,,0.48149065371883615,,,,10476,-910.2929058110743,,,,,,,,,,,
52,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,10436,,,,,,,,,,,,
53,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,,0,,,,,,,,,,,,,10700,,,,,,,,,,,,
54,-3.2556305662502787e-07,-0.00013136314647157755,,,,,,-7.8079576804812145,-2.479812405808996,,,6.700679858525152,6.010283813266198,,116.72497157351103,,,,1,1073.1343415460565,,,,-0.12119283844870792,,,,0.2878931560679608,,,,10697,-3901.0821605918527,,,,,,,,,,,
55,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,11020,,,,,,,,,,,,
56,-8.467558874877245e-08,-0.0008364547234694901,,,,,-2.894520518337939,-3.083196110673724,-0.23079696332435717,,3.8877040137172294,3.424085294379924,3.173406607348085,,9.177979059923977,4.466778183854469,,,2,1933.1280760877137,37.913809687819274,,,-0.23160181328430862,-0.16372104399476986,,,-0.2322380580895383,0.36285957209352054,,,11964a,723.6115344144936,2455200.2598069147,,,,,,,,,,
57,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,,,,,,0,,,,,,,,,,,,,12051,,,,,,,,,,,,
58,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,gl83.1,,,,,,,,,,,,
59,-1.9733441859354907e-07,-0.0004252355086452406,,,,,2.772333261382366,-2.937389951205973,-5.790647807031099,-0.2197931106707476,2.23517071656586,2.7396001628060067,4.55502524218065,5.265202268196533,73.54981604149398,29.537862573108512,2.9582694049898635,,3,262.1969527599239,1698.4927294217412,140.70431074683646,,0.28800408181497605,-0.10612108970257704,0.08787624474800727,,-0.5233967778407292,0.02247250762886356,0.9465872284887099,,12661,342.95780639579647,2457480.0185424397,2455161.067636985,,,,,,,,,
60,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,,0,,,,,,,,,,,,,12846,,,,,,,,,,,,
61,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,13043,,,,,,,,,,,,
62,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,,,,,,0,,,,,,,,,,,,,gl87,,,,,,,,,,,,
63,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,13612b,,,,,,,,,,,,
