,hostname,status,mass,mass_med,mass_minus,mass_plus,axis,axis_med,axis_minus,axis_plus,per,per_med,per_minus,per_plus,k,k_med,k_minus,k_plus,e,e_med,e_minus,e_plus
0,145675,K,4.910310615432672,4.930008993325356,4.787920849398795,5.071053820491394,2.8570708891837286,2.85699673476134,2.81643936404158,2.8964200786692658,1766.4300293408883,1766.351437682412,1765.7097238632755,1766.9927852368876,88.89514653114269,89.19999926193483,88.71373598966896,89.78600012505682,0.3663520757068024,0.36635608209095627,0.3628693415984713,0.3697732322239739
1,145675,C,5.930103720552072,6.186677454154405,5.3414377415850876,7.168676434287031,15.947416232161787,17.505125482694414,13.998808320646367,23.071286779578642,23294.339956990698,26801.405919262066,19175.274377341964,40530.007385648685,46.782006321609224,47.576762500264685,43.540532452446854,52.14336053460069,0.4279513296933648,0.4657018234172533,0.3624074638645877,0.5742898898098944
2,145675,A,0.26080351134846924,0.2422325513008201,0.2035521526692748,0.2822050185327763,4.524018995654288,4.467741133824865,4.2831889267161465,4.597320072967452,3519.666742951632,3464.7592075702714,3253.642335085364,3575.955082923695,4.515471587726196,3.862068568042925,2.982580257564267,4.919144868254901,0.6341814030041422,0.5233022699194019,0.2497408147793624,0.6717725944119362
3,1461,K,0.020355486105051973,0.020305874664331112,0.017841436602649245,0.022745029639878702,0.06431328214689319,0.06430763264312718,0.06288137161548313,0.06568805857629723,5.77124194946737,5.771286672981386,5.7709871968034365,5.771589994142477,2.2592212279427932,2.2368860311416245,1.9806268143288064,2.4880195375552745,0.20571353928276687,0.1066611052356076,0.03231942053574796,0.2224431561582232
4,1461,K,0.02658499660091852,0.025502195557353897,0.022322743423058646,0.028717553192770987,0.11335949877747788,0.113343866861131,0.11082942239161933,0.11577741662638985,13.505328319649706,13.504245030393045,13.502012732867765,13.506274094397535,2.1985667327752028,2.115420756715132,1.8625483368077589,2.3630004349910467,0.14623099698155018,0.09967267599042767,0.029295614114093718,0.2080989914052539
5,1461,N,0.03700344690712934,0.0372906608789524,0.031728117233966346,0.04303345839157045,0.34879902587714284,0.3488724571602721,0.3411276209141105,0.3563641722199298,72.89221812048831,72.91856432420093,72.85881608332875,72.99049716045974,1.91585577398104,1.8547688515835101,1.577026432343465,2.141666335165126,0.4342272214024945,0.2697867471995056,0.08780856684427372,0.472890004416219
6,146233,A,0.3607402185371542,0.3479371978738045,0.30820883408533545,0.3873230764421992,3.5087806033143507,3.5307016096001047,3.4594401562860275,3.605375316120413,2396.8076103626418,2415.479619551945,2378.552462613713,2465.947414882105,6.037120088086847,5.660969784326728,4.957038857418414,6.370520286208117,0.42427044349211385,0.3578666961470236,0.24312772406023875,0.4573593612272424
7,155358,K,0.8138858572038226,0.8650331039063712,0.798673089949121,0.9604231858233327,0.6100341783391893,0.6101537290634163,0.6033414145168725,0.6168295412362769,194.48797913662293,194.54022181299905,194.41516321503056,194.66599026563333,34.060234449843165,36.08521602448168,33.50982624349949,39.79874228643296,0.2344800609838392,0.2209924732472361,0.20052458354078906,0.2416659368349584
8,155358,K,0.6778619281956003,0.6773374272331156,0.6499763738722221,0.7052337106437371,0.9684562115081304,0.9679197831755332,0.9570100632170104,0.9786674900967216,389.02856874697403,388.6958303744738,387.6797544087007,389.73972649240517,22.382403451322094,22.259833823171505,21.388220912683632,23.17393345265665,0.20926695574286525,0.16913695289908026,0.058789886345429476,0.2587768770036555
9,69830,K,0.03225611367907651,0.031559537087262945,0.029455798758582237,0.03371042572439666,0.07934805462176439,0.07935107102573427,0.07821855812162855,0.08045287192632783,8.669960492481247,8.669949896511579,8.669373980631821,8.670528494507632,3.4960136990105166,3.422206016200145,3.2101397347793057,3.6333332728686947,0.14780627918196934,0.1356585067314235,0.07802243761983688,0.1905298912952721
10,69830,K,0.03002915007165825,0.02970008414064353,0.026808255894263014,0.03272321075497303,0.18797512893215748,0.18799292718010585,0.1853109128511995,0.19060445114826488,31.61282302934641,31.61545654815189,31.60023152495068,31.63119562082425,2.1044484915754267,2.0881000558483316,1.8915723457397973,2.2901732159867394,0.11142279575595504,0.09353768641111856,0.028948048237805123,0.1863152556976541
11,69830,N,0.05197005306787652,0.053539684460196614,0.04585747585348423,0.06127310223478581,0.9910531702129848,0.9931558127819397,0.9773995349754372,1.0086195575177237,382.69970346251336,383.9286744358576,379.99857218231006,387.90390335545237,1.624853924161888,1.6709816735635876,1.4423609878847976,1.904918806331934,0.2426471261353064,0.1739931193877888,0.053630220947515496,0.3366571935501111
12,69830,K,0.04305058713879649,0.042732112360554686,0.0366525531357885,0.04896083331186071,0.6443743356765221,0.6446594405035295,0.6353421506130813,0.6537382735521534,200.6411671016987,200.75375153717164,200.09267877722718,201.43962927927086,1.7180570733891791,1.6721152006805142,1.4324960366633266,1.9208458546559464,0.3340610288951112,0.20700331954913773,0.0675899680971458,0.3783636848624558
13,102195,K,0.472139523976565,0.4705731813567149,0.44546874188857066,0.4956735650373215,0.04898500583941607,0.048980684846161235,0.04830531273961693,0.04964484508653752,4.11337817463495,4.113355682149825,4.113268386082175,4.11343919675378,63.1701488848994,62.97613818109421,60.11019188860796,65.85386840439024,0.07265289142458431,0.04836373019742842,0.015099605497903203,0.09844307351605563
14,104067,K,0.20572199849645287,0.20252568936197424,0.1846419184085607,0.2205151676820228,0.2674040516746519,0.2673974068470131,0.2639292432125926,0.27077820965484545,55.84899388554029,55.84655655550458,55.8151929336895,55.876306218981895,12.962977938129368,12.73533322187577,11.61890052857495,13.857652777586225,0.26267446408838296,0.2354687583415213,0.14314273947331296,0.3241159856136505
15,104304,K,90.70109189121632,123.91127455416976,112.27417561790605,134.5634644214532,13.815738293695116,22.931504084494254,18.53894575074083,28.29867296561337,18306.527245542173,39176.601161373575,28513.19821880273,53654.86900922547,703.8982705375688,756.1406675689022,736.7620402333749,771.9703012831236,0.2730079866576431,0.4640289601828057,0.3767149743853807,0.5460998673061336
16,10476,N,0.05341491063835472,0.0573921599871132,0.0491566188666296,0.06599615183111354,0.9238626512569192,0.9338909684705592,0.9209624029620674,0.946415287767223,354.3738295117017,360.7443077812309,359.9654866519803,361.14219877103096,2.002976548903636,2.8286506034615204,2.217109912739248,3.475648337291973,0.5070898292840729,0.7659647687219984,0.6660243365102604,0.8224003928938975
17,10697,K,6.209812973645747,6.207705242848759,5.869960544509484,6.538030844168109,2.122787300953232,2.1230292089004585,2.0654012587397848,2.1778596410673448,1075.7389218052474,1075.7203528899972,1075.063773993528,1076.3860129974066,115.986891239126,115.92840663313005,114.75279498215315,117.11767082172597,0.1007735523481413,0.1005408122051158,0.09221119215783392,0.10856641667545172
18,107148,K,0.2056860698557216,0.20188316231126185,0.18225357149157093,0.2222650709147304,0.3713126059270179,0.3713407476477609,0.3636242331544746,0.3787856380490573,77.21552725214315,77.21342730428849,77.17882781179047,77.24709814285914,9.049799009972897,8.909841512960117,8.112452852987722,9.724648569231386,0.1349126909561982,0.11834552587379032,0.04244479211042348,0.20284932041113607
19,10790,S,276.57099045683736,283.44019971125107,263.33879644427685,310.7078780477613,1.5414071848003492,1.5413411413075564,1.5164155160281745,1.565450692738679,694.2661212837778,694.2380451484198,694.0924417229597,694.3887344688434,10039.751087087412,10357.537875075406,9481.818162391704,11664.070025119549,0.8435850262438053,0.8472590390825794,0.836582944166116,0.8608894557799062
20,108874,K,1.3338001508468214,1.3323508429650686,1.2823189061985578,1.3826555451658689,1.057443532505208,1.0575286051866786,1.0399404498422944,1.074486072641286,395.36195286183687,395.350596021205,395.12235250948487,395.5775082365944,37.082487501050785,37.06760147516303,36.3659980911325,37.76873143670871,0.14127185385105825,0.1428046996062332,0.1258667433792828,0.15941402067900845
21,108874,K,1.1545365291722116,1.1511916840261305,1.097786864097919,1.2054130953242406,2.844539424101308,2.8444138694392014,2.796023255038264,2.891213226574123,1744.3234975202586,1743.8408551443292,1734.3311766445972,1753.2646968018348,20.071454410842136,20.038969923725983,19.378922317407927,20.72625005531108,0.261228551588023,0.2626298161916311,0.230616728845728,0.2947457189581469
22,111031,C,12.056604317901993,32.914010036070664,17.629905198326014,57.2840299150931,12.811619290263545,24.715374293648125,17.29792099521719,33.58395030418994,15653.195868843059,42001.7866397106,24594.65035477888,66414.42519434907,90.72955968448687,180.43222463367889,110.87644747510349,295.78088671717074,0.16384221562497742,0.32611345799681435,0.15441352116565008,0.4651215793189507
23,112914,S,221.2733670148247,221.29179465130542,216.0326208591566,226.40005221926373,1.3821479308540774,1.3822167865394843,1.3640594745230212,1.399669915639723,709.5346317551331,709.5350466452278,709.4983385160565,709.5718071249617,5671.991829932485,5671.923251413238,5669.981286843401,5673.91229014582,0.3241682100262233,0.3241662731033155,0.3238024787231249,0.3245264670689405
24,114174,S,738.4120176658208,-868.7758826158231,-1047.9881498256425,2973.959446448783,26.06912578304161,58.21275518213014,33.449768240337754,96.50831935562671,49104.14491960703,163881.1225714798,71425.86908813035,349933.07226864103,3302.9931137070257,7024.214979997438,4261.084455163412,9859.951675510743,0.4819389546398714,0.5919686036403187,0.4150468629660808,0.7376358022995124
25,114729,K,0.867742980465067,0.8550269533481651,0.8007908118109821,0.9098271733600428,2.049309087937925,2.048711816018935,2.015026450703897,2.08113908472163,1133.0621544920875,1132.6925649934306,1129.093910151188,1136.1979601277192,18.32990764544947,18.082651208703037,17.064855663751025,19.097338119903704,0.10721058448856136,0.09788958813754406,0.047764387131659744,0.14738933490769987
26,114762,K,10.656444390412355,10.654064720498793,10.39082631452678,10.916351796199733,0.34558476356511864,0.3455665510950283,0.3412627459440581,0.3497817750076907,83.91755924587396,83.91752841845252,83.91655644333602,83.91852594183405,620.7453181262377,620.6977114097114,619.7801291007613,621.6211507897044,0.3439351745162892,0.3439182552476471,0.34272918281137343,0.3451192094919068
27,114783,K,1.0394800016992822,1.0387732022480056,1.006035126624525,1.0715410617158594,1.164339516307555,1.1643551068300877,1.1489947049869629,1.1792404363465718,492.492466244227,492.4898093863176,492.14757549922854,492.84106574253957,29.661923982339697,29.64683863332609,29.107449894283057,30.192054418856074,0.13380306696176206,0.13297566047004938,0.1161306021038468,0.149534979333733
28,114783,K,0.6357779393991155,0.6397283955480932,0.5924645941729109,0.6874320525533238,4.959465082863498,4.98184687458631,4.8648108236343806,5.114643595250397,4329.446637269324,4358.684203176204,4230.940284446098,4510.225377087672,8.769191828086651,8.807943386767494,8.2167766086315,9.40774240103476,0.11461349196954485,0.101066043212755,0.04360078069089096,0.16289350893869828
