,index,hostname,mstar,dvdt,dvdt_med,dvdt_minus,dvdt_plus,curv,curv_med,curv_minus,curv_plus
0,11,153557,0.7944789842219999,0.00942535556013256,0.009489553998637604,0.00782494924233532,0.011227659304199156,,,,
1,16,18143,0.9078886180775,0.010271934637675737,0.010267101913985631,0.009784839672574042,0.010742752133035794,,,,
2,18,0748-01711-1,1.19592067618,0.2070021057848884,0.20601286901892188,0.17422598637486555,0.23769243457998845,0.00035664183115524705,0.00035974551060489145,0.0002405895519816813,0.0004785834791148453
3,22,100623,0.7324609361839999,0.004581100822648115,0.004579176718038548,0.004217621426869091,0.004942500439625912,,,,
4,47,110315,0.655909773077,-0.0559655401302456,-0.05599689527361865,-0.05642546581648085,-0.05558382273565708,1.8833120722761425e-06,1.891420248451627e-06,1.7706987065387742e-06,2.015236056816024e-06
5,49,110537,1.00479918014,0.019294165957175532,0.01937720105824247,0.018885313409564924,0.019899228940845247,,,,
6,88,126614,1.16903749134,0.026558181265630747,0.027116370913326228,0.023793148936097963,0.028602906808120505,-5.121934746931118e-06,-6.049974018975431e-06,-6.54254205796872e-06,-5.158581200636474e-06
7,98,131156,0.893494384075,0.06584080374853214,0.06577018549878379,0.06379983242266711,0.0677532066976139,2.2608193554744067e-06,2.247101053309424e-06,1.943821401301339e-06,2.5473759783668528e-06
8,124,149806,0.950881760762,0.005964841169145008,0.005964647387028684,0.005557236025665235,0.006375174091887349,,,,
9,143,161797,1.18516102911,-0.08257903290536099,-0.04760738531503597,-0.06449838717229607,-0.03156880763242748,,,,
10,167,17230,0.7042015344050001,-0.00607615336506185,-0.006073449417021903,-0.006508012082929992,-0.005643228591059029,,,,
11,169,173739,0.589470247061,0.01709064113261923,0.017081577529097162,0.016502923868058062,0.017654134933622053,,,,
12,170,173740,0.663985625963,-0.020877229805856483,-0.02087024075061911,-0.02142456228248744,-0.020309861929612587,,,,
13,178,179957,0.9435099137345,-0.004915567196404737,-0.0049298980006133725,-0.005667922324653877,-0.004210021332370856,,,,
14,179,179958,0.974311864422,0.005265164381975485,0.005267453111667859,0.0050384976537898,0.005497029498927283,,,,
15,182,182488,0.954690699986,-0.005209509503981553,-0.005210714206916565,-0.005608574420165269,-0.004810749066797743,-9.311756320574477e-07,-9.312369631226959e-07,-1.0460788254758694e-06,-8.169215483091363e-07
16,191,186408,1.03147190795,-0.004312619499924773,-0.004345365585615461,-0.004547480503914598,-0.004144202393183522,,,,
17,198,188512,1.181766928075,0.002026265959372891,0.00202904127923124,0.0018026512449995009,0.002253230521980047,,,,
18,201,190067,0.780104317773,0.011464451306736291,0.01146328243783095,0.011116561377223864,0.01180549426171367,,,,
19,216,195564,1.055462450065,-0.06806039766891568,-0.06807844394461912,-0.06874364523623876,-0.06735143876884826,-4.26260946843798e-06,-4.268600834460376e-06,-4.3791365561028274e-06,-4.164387077980818e-06
20,217,196201,0.846631309469,0.2481221099321437,0.2482065717793049,0.24551530004843936,0.25082182427314503,-8.993921909739875e-06,-9.034202943334924e-06,-9.896481659667652e-06,-8.186382831660428e-06
21,226,200968,0.874455793176,-0.028388670738959856,-0.028273101510021364,-0.02902355600627136,-0.027388990195981608,,,,
22,227,201091,0.642781872378,-0.007329492464406022,-0.0073583998961697095,-0.007716425832409113,-0.006994719580871592,-3.2303121897308873e-07,-3.2256862470066475e-07,-3.787067575812938e-07,-2.6737015762358733e-07
23,228,201092,0.592276809901,0.013282441446693079,0.013294532261840864,0.012895694792391684,0.013698481278443713,-4.332563191407322e-07,-4.323653205549846e-07,-4.934576899282798e-07,-3.725252989073193e-07
24,248,213519,0.964867691911,-0.007675018859518785,-0.007706364231071689,-0.008376889144159919,-0.007016505574821164,,,,
25,287,23439,0.6171132941535,0.0020734908576204992,0.002043841926175895,0.001863524806144591,0.00222354144639428,,,,
26,288,24040,1.1310279702,0.006012693720642617,0.005937220041478652,0.005481210195015651,0.00639333884192856,-5.111738707171671e-07,-5.174719759037331e-07,-6.653427586082517e-07,-3.676350947481504e-07
27,292,24496,0.920913545734,-0.019877879568131925,-0.0199521699986808,-0.02031155105098793,-0.019594600948981186,,,,
28,296,24916,0.72672431191,-0.003596877006049117,-0.0036158816532246467,-0.004325917772583807,-0.002914435031478808,,,,
29,323,32923,0.9391552799099999,0.004886992919052321,0.004882338242871006,0.00435567948881902,0.00540028579428875,,,,
30,331,34721,1.02848951276,0.0030948686142485823,0.0030880698690374108,0.002782415525155309,0.0033824528191510085,,,,
31,344,38230,0.818017052525,0.011086106020625168,0.011088458854282082,0.010877981481527936,0.011298863536719756,,,,
32,350,40397,0.8717029757439999,-0.02889827301944028,-0.028874159863586664,-0.02919351008778753,-0.028548214092985264,-8.666601298915319e-07,-8.762336265913731e-07,-9.738088107039743e-07,-7.821779288672534e-07
33,367,4614,0.904904614979,0.02009354090083628,0.019997670338489856,0.01951515857861105,0.020485955124744538,-4.1890710362619426e-07,-4.094074815644777e-07,-4.7022733497143965e-07,-3.502381422164168e-07
34,389,53665,1.331662075975,0.010450540201386766,0.010430725791361131,0.009418279460311232,0.011418218323187686,,,,
35,399,63754,1.36073003472,-0.0059567979078130285,-0.005961869268410193,-0.006685754648115251,-0.0052395307608959045,-6.043801415739998e-07,-6.046124850465093e-07,-7.741272765480544e-07,-4.3660086040604237e-07
36,400,65277,0.6967449905130001,-0.005909480325977189,-0.0059096907349854965,-0.006153326298324728,-0.005666600640920341,,,,
37,421,79210,0.593379278398,0.010238622643470752,0.010268970436267556,0.009525677494281744,0.011043001234567841,,,,
