,index,name,type,teff,teff_err,fe,fe_err,iso_mass,iso_mass_err1,iso_mass_err2,iso_radius,iso_radius_err1,iso_radius_err2,iso_logage,iso_logage_err1,iso_logage_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_fe,iso_fe_err1,iso_fe_err2
0,0,185144,synth,5246.377143584999,100.0,-0.1417745253385,0.06,0.8032097228195,0.03421101967885,-0.033167011619699996,0.773993861346,0.0366274385741,-0.0287357456563,9.752766255025,0.273271259132,-0.5013513186085,5233.669840625,92.7751368811,-102.31459082699999,4.56312177348,0.03192618090135,-0.0416919303362,-0.170345676721,0.06106111808689999,-0.062224887223350005
1,1,185144,synth,5246.377143584999,100.0,-0.1417745253385,0.06,0.8032097228195,0.03421101967885,-0.033167011619699996,0.773993861346,0.0366274385741,-0.0287357456563,9.752766255025,0.273271259132,-0.5013513186085,5233.669840625,92.7751368811,-102.31459082699999,4.56312177348,0.03192618090135,-0.0416919303362,-0.170345676721,0.06106111808689999,-0.062224887223350005
2,2,185144,synth,5246.377143584999,100.0,-0.1417745253385,0.06,0.8032097228195,0.03421101967885,-0.033167011619699996,0.773993861346,0.0366274385741,-0.0287357456563,9.752766255025,0.273271259132,-0.5013513186085,5233.669840625,92.7751368811,-102.31459082699999,4.56312177348,0.03192618090135,-0.0416919303362,-0.170345676721,0.06106111808689999,-0.062224887223350005
3,3,185144,synth,5246.377143584999,100.0,-0.1417745253385,0.06,0.8032097228195,0.03421101967885,-0.033167011619699996,0.773993861346,0.0366274385741,-0.0287357456563,9.752766255025,0.273271259132,-0.5013513186085,5233.669840625,92.7751368811,-102.31459082699999,4.56312177348,0.03192618090135,-0.0416919303362,-0.170345676721,0.06106111808689999,-0.062224887223350005
4,4,185144,synth,5246.377143584999,100.0,-0.1417745253385,0.06,0.8032097228195,0.03421101967885,-0.033167011619699996,0.773993861346,0.0366274385741,-0.0287357456563,9.752766255025,0.273271259132,-0.5013513186085,5233.669840625,92.7751368811,-102.31459082699999,4.56312177348,0.03192618090135,-0.0416919303362,-0.170345676721,0.06106111808689999,-0.062224887223350005
5,5,196850,synth,5735.351071380001,100.0,-0.08489521817529999,0.06,0.9208997722645,0.046362380084,-0.0387169854046,1.13002651229,0.156767389058,-0.12281429724099999,10.005741069,0.0818304848417,-0.12438960150299999,5745.1468208900005,92.30619778175,-83.02427172175,4.284560481735,0.09575128423605,-0.10245865730550001,-0.1028414555895,0.05936723320665,-0.06036692834885
6,6,196850,synth,5735.351071380001,100.0,-0.08489521817529999,0.06,0.9208997722645,0.046362380084,-0.0387169854046,1.13002651229,0.156767389058,-0.12281429724099999,10.005741069,0.0818304848417,-0.12438960150299999,5745.1468208900005,92.30619778175,-83.02427172175,4.284560481735,0.09575128423605,-0.10245865730550001,-0.1028414555895,0.05936723320665,-0.06036692834885
7,7,196850,synth,5735.351071380001,100.0,-0.08489521817529999,0.06,0.9208997722645,0.046362380084,-0.0387169854046,1.13002651229,0.156767389058,-0.12281429724099999,10.005741069,0.0818304848417,-0.12438960150299999,5745.1468208900005,92.30619778175,-83.02427172175,4.284560481735,0.09575128423605,-0.10245865730550001,-0.1028414555895,0.05936723320665,-0.06036692834885
8,8,196850,synth,5735.351071380001,100.0,-0.08489521817529999,0.06,0.9208997722645,0.046362380084,-0.0387169854046,1.13002651229,0.156767389058,-0.12281429724099999,10.005741069,0.0818304848417,-0.12438960150299999,5745.1468208900005,92.30619778175,-83.02427172175,4.284560481735,0.09575128423605,-0.10245865730550001,-0.1028414555895,0.05936723320665,-0.06036692834885
9,9,1461,synth,5715.952867284999,100.0,0.20904611269850001,0.06,1.0654888316100002,0.07971544044365,-0.0597370568306,1.314294485665,0.17818256278900002,-0.15726870470249998,9.85721390866,0.11210145485,-0.1470703311235,5725.503476605,93.83671207435,-104.13067102900001,4.218592790235,0.09705100467105,-0.08839440618955,0.19070771839,0.058733211522,-0.06296745826950001
10,10,1461,synth,5715.952867284999,100.0,0.20904611269850001,0.06,1.0654888316100002,0.07971544044365,-0.0597370568306,1.314294485665,0.17818256278900002,-0.15726870470249998,9.85721390866,0.11210145485,-0.1470703311235,5725.503476605,93.83671207435,-104.13067102900001,4.218592790235,0.09705100467105,-0.08839440618955,0.19070771839,0.058733211522,-0.06296745826950001
11,11,1461,synth,5715.952867284999,100.0,0.20904611269850001,0.06,1.0654888316100002,0.07971544044365,-0.0597370568306,1.314294485665,0.17818256278900002,-0.15726870470249998,9.85721390866,0.11210145485,-0.1470703311235,5725.503476605,93.83671207435,-104.13067102900001,4.218592790235,0.09705100467105,-0.08839440618955,0.19070771839,0.058733211522,-0.06296745826950001
12,12,1461,synth,5715.952867284999,100.0,0.20904611269850001,0.06,1.0654888316100002,0.07971544044365,-0.0597370568306,1.314294485665,0.17818256278900002,-0.15726870470249998,9.85721390866,0.11210145485,-0.1470703311235,5725.503476605,93.83671207435,-104.13067102900001,4.218592790235,0.09705100467105,-0.08839440618955,0.19070771839,0.058733211522,-0.06296745826950001
13,13,1461,synth,5715.952867284999,100.0,0.20904611269850001,0.06,1.0654888316100002,0.07971544044365,-0.0597370568306,1.314294485665,0.17818256278900002,-0.15726870470249998,9.85721390866,0.11210145485,-0.1470703311235,5725.503476605,93.83671207435,-104.13067102900001,4.218592790235,0.09705100467105,-0.08839440618955,0.19070771839,0.058733211522,-0.06296745826950001
14,14,11964a,synth,5330.85555434,100.0,0.1520352590325,0.06,1.06990154351,0.1320189495545,-0.0838659425139,1.8612719953099999,0.31643481866150003,-0.22603203821450002,9.952193652350001,0.125286616047,-0.18596459768899998,5339.933011589999,97.97342559139999,-99.5701463597,3.91871674162,0.0805934553509,-0.08659025459229999,0.1311824149415,0.060705663604650004,-0.06230535036805
15,15,11964a,synth,5330.85555434,100.0,0.1520352590325,0.06,1.06990154351,0.1320189495545,-0.0838659425139,1.8612719953099999,0.31643481866150003,-0.22603203821450002,9.952193652350001,0.125286616047,-0.18596459768899998,5339.933011589999,97.97342559139999,-99.5701463597,3.91871674162,0.0805934553509,-0.08659025459229999,0.1311824149415,0.060705663604650004,-0.06230535036805
