,hostname,status,pl_index,per,per_errplus,per_errminus,mass,mass_errplus,mass_errminus,axis,axis_errplus,axis_errminus,tc,tc_errplus,tc_errminus,w,w_errplus,w_errminus,k,k_errplus,k_errminus,e,e_errplus,e_errminus,letter
37,134987,K,2.0,5960.0,170.0,150.0,0.935,0.063,0.06,6.62,0.16,0.15,2455060.0,140.0,150.0,1.03,0.4,2.4,10.01,0.59,0.57,0.154,0.049,0.05, c
40,136925,C,1.0,4540.0,160.0,140.0,0.84,0.078,0.074,5.13,0.12,0.11,2449690.0,280.0,330.0,0.42,0.69,1.3,11.4,1.0,0.99,0.103,0.094,0.07, b
42,13931,K,1.0,4449.0,54.0,50.0,1.911,0.077,0.076,5.323,0.09,0.091,2456650.0,34.0,30.0,-0.1,1.1,0.96,23.38,0.62,0.61,0.02,0.021,0.014, b
45,141004,C,1.0,15.5083,0.0016,0.0018,0.0429,0.0046,0.0046,0.1238,0.002,0.002,2456704.33,0.55,0.49,0.34,0.55,0.74,3.45,0.36,0.35,0.16,0.11,0.1, b
46,141399,K,1.0,201.776,0.059,0.06,1.329,0.046,0.047,0.693,0.012,0.012,2455626.02,0.48,0.47,0.43,0.14,0.14,43.49,0.32,0.31,0.0465,0.0068,0.0068, c
47,141399,K,2.0,1074.8,3.2,3.3,1.263,0.047,0.047,2.114,0.036,0.037,2454755.6,6.8,7.0,-1.1,2.5,0.38,23.68,0.35,0.35,0.044,0.013,0.013, d
48,141399,K,3.0,94.375,0.028,0.029,0.452,0.017,0.017,0.4176,0.007,0.0072,2455205.19,0.53,0.57,0.14,0.29,0.31,19.06,0.3,0.32,0.053,0.015,0.015, b
49,141399,K,4.0,3336.0,80.0,83.0,0.644,0.042,0.04,4.5,0.11,0.11,2455729.0,42.0,47.0,-0.0,1.1,1.0,8.29,0.43,0.42,0.047,0.052,0.033, e
52,143761,K,1.0,39.84324,0.00067,0.00066,1.057,0.024,0.024,0.2213,0.0025,0.0025,2456516.109,0.051,0.052,-1.4,3.0,0.095,66.99,0.23,0.23,0.0355,0.0035,0.0037, b
53,143761,K,2.0,102.557,0.078,0.079,0.0885,0.0055,0.0056,0.4157,0.0046,0.0047,2455206.1,1.7,1.9,0.28,0.83,1.3,4.1,0.23,0.24,0.044,0.05,0.031, c
57,145675,K,1.0,1766.41,0.67,0.68,4.85,0.15,0.15,2.83,0.041,0.041,2456834.4,1.7,1.9,0.4049,0.0097,0.012,89.49,0.65,0.52,0.3674,0.0035,0.0038, b
58,145675,C,2.0,25000.0,24000.0,9200.0,5.8,1.4,1.0,16.4,9.3,4.3,2454680.0,440.0,310.0,-0.13,0.14,0.18,46.7,6.0,4.8,0.45,0.17,0.15, c
60,145934,K,1.0,2790.0,44.0,39.0,2.04,0.24,0.23,4.73,0.2,0.21,2455976.0,57.0,56.0,-0.0,1.1,1.1,20.0,1.6,1.5,0.057,0.057,0.039, b
