,hostname,status,pl_index,per,per_errplus,per_errminus,mass,mass_errplus,mass_errminus,axis,axis_errplus,axis_errminus,tc,tc_errplus,tc_errminus,w,w_errplus,w_errminus,k,k_errplus,k_errminus,e,e_errplus,e_errminus,letter
239,75732,K,3.0,4820.0,77.0,72.0,2.86,0.25,0.25,5.54,0.1,0.1,2455790.0,120.0,91.0,-1.0,0.13,0.15,35.3,2.7,2.6,0.139,0.015,0.016, d
240,75732,K,4.0,260.98,0.24,0.24,0.1475,0.0094,0.0094,0.792,0.012,0.012,2456020.7,5.2,6.1,0.04,0.4,0.38,4.84,0.27,0.27,0.142,0.06,0.066, f
241,75732,K,5.0,0.7365445,1.4e-06,1.5e-06,0.0295,0.0014,0.0014,0.01583,0.00024,0.00024,2456340.655,0.008,0.009,0.03,0.81,0.87,6.76,0.24,0.23,0.036,0.034,0.025, e
244,7924,K,1.0,5.39785,0.00017,0.00018,0.0259,0.0014,0.0014,0.05595,0.00075,0.00078,2456174.716,0.072,0.084,-0.14,0.96,0.83,3.48,0.17,0.16,0.049,0.044,0.035, b
245,7924,K,2.0,15.3006,0.0018,0.0018,0.0278,0.002,0.0019,0.1121,0.0015,0.0016,2455203.73,0.34,0.36,0.46,0.56,0.83,2.66,0.17,0.17,0.1,0.069,0.062, c
247,7924,K,4.0,24.4459,0.009,0.0091,0.0192,0.0021,0.002,0.1532,0.0021,0.0021,2455188.3,0.93,0.91,0.39,0.64,0.84,1.59,0.18,0.17,0.17,0.1,0.1, d
249,80606,K,1.0,111.43639,0.00032,0.00031,4.16,0.13,0.13,0.4602,0.0068,0.0071,2455099.39,0.13,0.12,-1.0288,0.0044,0.0043,465.5,2.8,2.8,0.93043,0.00068,0.00069, b
250,82943,K,1.0,219.929,0.056,0.059,1.652,0.085,0.077,0.747,0.011,0.011,2455135.17,0.56,0.54,-1.201,0.056,0.06,55.9,2.1,1.8,0.421,0.014,0.015, c
251,82943,K,2.0,441.93,0.43,0.45,1.539,0.053,0.052,1.189,0.017,0.018,2455114.6,7.0,7.7,-1.0,2.3,0.37,37.85,0.8,0.75,0.142,0.042,0.046, b
255,8574,K,1.0,227.04,0.09,0.095,1.766,0.074,0.073,0.75,0.012,0.012,2453548.1,2.4,2.3,0.315,0.089,0.086,58.3,1.6,1.5,0.306,0.022,0.022, b
259,87883,K,1.0,3303.0,26.0,25.0,2.292,0.07,0.069,4.072,0.056,0.057,2454589.0,38.0,37.0,-1.204,0.023,0.023,50.64,0.73,0.74,0.7121,0.0083,0.0079, b
260,90156,K,1.0,49.609,0.033,0.03,0.0371,0.0062,0.006,0.2509,0.0036,0.0037,2455169.3,2.3,2.7,0.0,1.0,1.2,2.34,0.4,0.38,0.16,0.18,0.11, b
261,92788,K,1.0,325.705,0.038,0.04,3.52,0.1,0.1,0.949,0.013,0.013,2450581.2,1.7,1.6,-1.393,0.026,0.027,105.96,0.94,0.93,0.3552,0.007,0.0072, b
262,92788,K,2.0,8360.0,540.0,390.0,2.81,0.18,0.17,8.26,0.36,0.28,2450140.0,360.0,510.0,-0.62,0.15,0.14,28.7,1.4,1.3,0.355,0.057,0.052, c
265,95128,K,1.0,1076.6,1.3,1.1,2.438,0.085,0.085,2.059,0.031,0.032,2454415.6,3.0,2.9,-0.6,0.51,0.41,48.16,0.77,0.73,0.016,0.0076,0.008, b
266,95128,K,2.0,2287.0,19.0,16.0,0.497,0.032,0.03,3.404,0.054,0.056,2455651.0,59.0,46.0,0.56,0.82,1.9,7.8,0.46,0.44,0.179,0.09,0.092, c
267,95128,K,3.0,19000.0,11000.0,4000.0,1.51,0.22,0.17,13.8,4.8,2.1,2451820.0,170.0,200.0,0.89,0.49,2.2,12.4,1.4,1.1,0.38,0.16,0.15, d
269,95735,C,1.0,3190.0,200.0,170.0,0.0568,0.0091,0.0083,3.1,0.13,0.11,2457440.0,150.0,150.0,0.1,1.1,1.3,1.49,0.26,0.22,0.14,0.16,0.095, c
270,95735,K,2.0,12.9382,0.0018,0.0016,0.00882,0.00092,0.00098,0.07892,0.00054,0.00055,2455205.2,0.47,0.55,-0.4,1.2,0.68,1.44,0.15,0.16,0.095,0.099,0.066, b
272,97101,K,1.0,744.7,3.9,3.5,0.184,0.01,0.011,1.424,0.011,0.011,2457228.0,18.0,18.0,0.3,0.29,0.3,5.36,0.29,0.32,0.185,0.069,0.073, c
275,97101,K,4.0,51.625,0.038,0.037,0.0322,0.0042,0.0038,0.2403,0.0017,0.0017,2455179.9,2.1,2.3,-0.86,0.76,0.4,2.36,0.34,0.3,0.28,0.13,0.13, b
277,97658,K,1.0,9.48908,0.00071,0.00072,0.0247,0.0018,0.0017,0.0805,0.001,0.0011,2456020.3,0.19,0.18,-0.2,1.2,0.89,2.83,0.19,0.19,0.063,0.061,0.044, b
279,9826,K,1.0,4.617122,1.2e-05,1.2e-05,0.675,0.016,0.016,0.05914,0.00061,0.00063,2454083.853,0.012,0.012,0.0,1.1,1.1,69.39,0.65,0.64,0.0069,0.0072,0.0046, b
280,9826,K,2.0,241.223,0.045,0.041,1.965,0.049,0.049,0.8265,0.0086,0.0088,2455133.7,1.6,1.5,1.016,0.054,0.057,56.07,0.77,0.82,0.266,0.012,0.012, c
281,9826,K,3.0,1282.41,0.93,0.94,4.1,0.1,0.1,2.517,0.026,0.027,2453360.6,8.6,8.5,1.288,0.043,0.042,67.51,0.92,0.89,0.294,0.011,0.012, d
284,99109,K,1.0,441.0,1.3,1.3,0.474,0.035,0.035,1.122,0.017,0.017,2451991.0,12.0,11.0,0.1,1.0,1.2,12.98,0.87,0.88,0.06,0.064,0.042, b
286,99492,K,1.0,17.0495,0.0017,0.0016,0.0841,0.0061,0.0061,0.1231,0.0014,0.0015,2454297.94,0.43,0.35,0.61,0.63,1.6,7.42,0.5,0.52,0.085,0.07,0.057, b
289,gl317,K,1.0,695.36,0.7,0.7,1.853,0.037,0.037,1.18,0.0075,0.0076,2455306.1,4.6,4.5,-0.48,0.26,0.23,72.4,1.1,1.1,0.098,0.016,0.016, b
290,gl317,K,2.0,7500.0,1500.0,720.0,1.673,0.078,0.076,5.78,0.75,0.38,2456384.0,75.0,77.0,-1.15,0.4,0.24,30.3,1.6,1.6,0.25,0.11,0.074, c
293,gl687,K,1.0,38.152,0.014,0.014,0.0553,0.0047,0.0047,0.1658,0.0012,0.0012,2454481.07,0.81,0.83,0.87,0.46,2.0,6.06,0.53,0.52,0.153,0.077,0.08, b
295,hip109388,K,1.0,1940.0,12.0,12.0,0.891,0.036,0.036,2.409,0.018,0.017,2453873.0,21.0,24.0,0.41,0.56,0.62,23.21,0.88,0.89,0.05,0.029,0.03, b
296,hip109388,K,2.0,5750.0,130.0,120.0,1.079,0.053,0.053,4.974,0.083,0.074,2458970.0,140.0,120.0,-0.63,0.49,0.42,19.64,0.93,0.95,0.099,0.041,0.04, c
297,hip22627,K,1.0,2333.0,36.0,36.0,0.752,0.041,0.041,2.523,0.033,0.034,2454876.0,35.0,37.0,-0.42,0.34,0.37,21.8,1.1,1.1,0.169,0.048,0.05, b
300,hip57050,K,1.0,535.9,4.0,3.3,0.26,0.03,0.029,0.9302,0.009,0.0088,2454769.0,29.0,40.0,0.28,0.41,0.38,13.1,1.8,1.6,0.27,0.14,0.17, c
301,hip57050,K,2.0,41.375,0.011,0.01,0.339,0.014,0.014,0.1686,0.0014,0.0014,2454796.92,0.89,0.85,1.43,0.09,2.8,41.3,1.5,1.5,0.366,0.027,0.028, b
303,hip74995,K,1.0,5.36879,0.00015,0.00015,0.0511,0.0019,0.0019,0.04099,0.00042,0.00044,2454724.631,0.043,0.04,0.16,0.94,1.2,12.71,0.4,0.4,0.02,0.022,0.014, b
304,hip74995,K,2.0,12.9144,0.0045,0.0048,0.0159,0.0022,0.0022,0.07359,0.00076,0.00078,2455183.69,0.46,0.57,-0.2,1.2,0.88,3.0,0.4,0.4,0.12,0.12,0.084, c
306,hip83043,K,1.0,604.8,3.4,3.5,0.275,0.022,0.021,1.1325,0.0086,0.0088,2454832.0,25.0,22.0,-0.23,0.52,0.49,10.3,0.9,0.84,0.17,0.1,0.1, b
307,hip57087,K,1.0,2.643892,2.5e-05,2.5e-05,0.0668,0.0022,0.0022,0.02849,0.0002,0.0002,2454428.848,0.029,0.028,-0.44,0.23,0.23,17.12,0.52,0.51,0.145,0.027,0.027, b
310,bd-103166,K,1.0,3.487905,7.8e-05,8.1e-05,0.449,0.017,0.017,0.045,0.00064,0.00067,2451705.963,0.031,0.026,-0.1,1.1,0.93,60.2,1.5,1.5,0.022,0.024,0.015, b
314,175541,K,1.0,299.05,0.65,0.64,0.577,0.048,0.047,0.99,0.03,0.032,2454003.5,7.0,5.7,-0.2,1.1,0.9,13.76,0.74,0.73,0.057,0.053,0.039, b
316,37124,K,1.0,154.26,0.03,0.03,0.65,0.016,0.016,0.5253,0.0031,0.0032,2454920.13,0.97,1.0,-0.5,0.45,0.37,28.34,0.62,0.59,0.05,0.019,0.022, b
317,37124,K,2.0,887.7,2.5,2.4,0.647,0.08,0.09,1.687,0.011,0.011,2454937.0,13.0,12.0,0.63,0.34,0.39,15.9,1.9,2.2,0.126,0.047,0.045, c
318,37124,K,3.0,1768.0,15.0,14.0,0.659,0.034,0.036,2.671,0.022,0.022,2454455.0,48.0,55.0,-0.2,1.6,1.1,12.97,0.77,0.75,0.16,0.12,0.11, d
320,83443,K,1.0,2.98566,3.4e-05,3.3e-05,0.409,0.019,0.018,0.04067,0.0006,0.00061,2452307.369,0.031,0.032,-0.24,0.48,0.48,57.7,2.0,2.0,0.074,0.031,0.032, b
322,183263,K,1.0,625.09,0.12,0.12,3.704,0.099,0.099,1.508,0.02,0.02,2456925.2,1.6,1.5,0.918,0.013,0.013,85.68,0.42,0.43,0.3786,0.004,0.004, b
323,183263,K,2.0,5010.0,31.0,32.0,7.96,0.22,0.22,6.037,0.083,0.083,2457195.7,8.5,8.8,-1.16,0.1,0.11,85.34,0.63,0.61,0.0595,0.0064,0.0063, c
324,gl876,K,1.0,61.03474,0.0008,0.00084,2.115,0.035,0.036,0.2177,0.0018,0.0019,2453055.984,0.038,0.047,-0.1,1.2,0.95,211.97,0.56,0.6,0.002,0.0019,0.0014, b
325,gl876,K,2.0,30.22902,0.00052,0.00055,0.698,0.012,0.013,0.1363,0.0011,0.0012,2453029.298,0.049,0.057,-0.4,1.6,0.8,88.44,0.55,0.57,0.0069,0.0063,0.005, c
327,gl876,K,4.0,1.937916,2.7e-05,3e-05,0.0184,0.0016,0.0015,0.02183,0.00018,0.00019,2455200.064,0.047,0.049,-1.11,0.48,0.26,6.1,0.56,0.55,0.273,0.093,0.098, d
