,index,hostname,mstar,dvdt,dvdt_med,dvdt_minus,dvdt_plus,curv,curv_med,curv_minus,curv_plus
68,455,8648,1.084060248,0.020949476919999998,0.02093525709,0.020522235469999997,0.021336805209999997,,,,
69,465,88986,1.103686333,-0.001287444873,-0.001425932361,-0.002326917384,-0.0006012830928,1.75e-06,1.78e-06,1.6e-06,1.98e-06
70,472,91204,1.154668475,-0.3964066979,-0.3961297657,-0.39860174130000003,-0.39359559549999995,,,,
71,479,9540a,0.913153585,-0.003117209272,-0.003135738068,-0.0037235257539999997,-0.002541820956,,,,
72,490,98618,0.9932180184999999,-0.007557964282,-0.007603615865,-0.008247246642,-0.007065421171,,,,
73,506,gl397,0.6986014358,0.005741135028,0.005740112018,0.004839787177,0.006626929168,,,,
74,561,hip57050,0.37358535270000004,0.0005303901563,0.0001961840004,-0.001183780294,0.001618997337,,,,
75,571,hip71898,0.3998404201,0.02129139042,0.02129804075,0.02006438618,0.02248369864,,,,
76,605,71881,0.9896349953,-0.031440002939999996,-0.03144560732,-0.03261484891,-0.030210051329999998,,,,
77,609,88218,1.03527994,-0.11676239529999999,-0.1163660802,-0.11835233839999999,-0.1140073943,-4.68e-06,-4.59e-06,-4.98e-06,-4.13e-06
78,610,89391,1.137828578,0.011538887690000001,0.01158010649,0.01056369844,0.01262948767,,,,
79,618,105618,1.130666656,0.006155893447,0.006378366523,0.004982174384,0.007943164104,,,,
80,622,111484a,1.19295574,-0.0839765667,-0.08615959812999999,-0.09222700153999999,-0.08131826972999999,,,,
81,625,gl528b,0.7,0.08126900557,0.08122346282000001,0.07815146943,0.08427053287000001,,,,
82,626,120476a,0.7365174884000001,-0.07082537526,-0.07076719954,-0.07185915397,-0.06968305973,-3.15e-06,-3.18e-06,-3.57e-06,-2.81e-06
83,628,129814,0.9728635162999999,-0.04309176283,-0.04306952204,-0.0442304348,-0.04192109389,2.7300000000000003e-05,2.7300000000000003e-05,2.7000000000000002e-05,2.7699999999999996e-05
84,631,131509,1.184531493,-0.0190134727,-0.019187833999999997,-0.019879282130000002,-0.01873382728,,,,
85,642,147231,0.9190357523,-0.07556433616000001,-0.07543823973,-0.07646348879999999,-0.07444166359,,,,
86,648,151995,0.7740242178,-0.006613429298,-0.006425949399,-0.007243530942,-0.005525255219,,,,
87,652,156826,1.3726752580000001,-0.024065625309999998,-0.02420357835,-0.025148349049999998,-0.02340580609,,,,
88,678,180684,1.262973493,0.1710019797,0.17092686079999997,0.1691062579,0.172822943,-6.72e-06,-6.73e-06,-7.31e-06,-6.14e-06
89,692,201203,1.4595367869999998,-0.1442939442,-0.1446998906,-0.1548663341,-0.1354648945,-3.2200000000000003e-05,-3.14e-05,-3.6200000000000006e-05,-2.6899999999999997e-05
90,719,183263,1.1705832109999998,-0.00658853547,-0.006593846374,-0.00703200287,-0.006146876721,,,,
