,hostname,status,pl_index,mass,mass_med,mass_minus,mass_plus,axis,axis_med,axis_minus,axis_plus,per,per_med,per_minus,per_plus,tc,tc_med,tc_minus,tc_plus,w,w_med,w_minus,w_plus,k,k_med,k_minus,k_plus,e,e_med,e_minus,e_plus,e_mode,e_68,insol,insol_med,insols_minus,insols_plus,teq,teq_med,teq_minus,teq_plus,post_path
93,169830,K,2.0,3.516502547,3.5113697,3.3949274789999997,3.628860209,3.286211728,3.282411888,3.247146999,3.3174697139999996,1834.6120219999998,1831.921058,1823.33088,1840.0062,2455133.191,2455138.551,2455118.964,2455158.595,-0.6171424332,-0.6306362836,-0.7683918346999999,-0.49912408950000003,48.14367926,48.10677502,46.83991773,49.38696759,0.2588104925,0.2572998229,0.238346172,0.2765049594,0.255,0.266224852,0.4538615223,0.45498102799999995,0.41884358549999995,0.49326814770000005,0.7880044514,0.7875192715,0.41884358549999995,0.49326814770000005,/data/user/lrosenth/legacy/final_run/169830/169830_pchains.csv
94,170469,K,1.0,0.5544423453,0.5549936227000001,0.48312007700000004,0.6295959017,2.217971073,2.2126956559999997,2.168767553,2.252349519,1132.588681,1130.467269,1105.358346,1147.5559230000001,2453076.0640000002,2453003.48,2452953.293,2453074.659,2.7606293969999998,-0.28290460370000003,-1.004271855,0.8286775581999999,10.34223996,10.19984387,8.947240751,11.53140445,0.27732485879999996,0.1545025124,0.048397082779999996,0.3126765212,0.07,0.22477192829999998,0.3274186786,0.329631034,0.30083421190000004,0.3609575986,0.8550345212,0.8535962313,0.30083421190000004,0.3609575986,/data/user/lrosenth/legacy/final_run/170469/170469_pchains.csv
95,17382,S,1.0,197.85991919999998,197.88522609999998,193.4151559,202.33307050000002,5.967337709,5.967002174,5.893740478,6.038731036000001,5578.2425,5577.291421,5558.351904,5598.0396359999995,2453540.6780000003,2453541.418,2453529.512,2453552.267,1.988758847,-1.152385522,-1.157849462,-1.146881426,2818.989768,2820.2963440000003,2802.477697,2838.950353,0.6558854074,0.6562661219,0.6501708627,0.6620881157,0.655,0.6590395393999999,0.01427474264,0.014265732199999999,0.01328067889,0.015324314050000001,1.8711880719999998,1.871483469,0.01328067889,0.015324314050000001,/data/user/lrosenth/legacy/final_run/17382/17382_pchains.csv
96,177830,K,1.0,1.342934726,1.3475801,1.248638436,1.4433834230000002,1.179557236,1.179681717,1.1364414809999999,1.219217675,407.36877749999996,407.3679811,407.1507124,407.57750739999994,2455453.422,2455452.353,2455450.329,2455454.4469999997,-3.0606730719999997,-0.0116403657,-0.5813606672,0.6204300821000001,30.62366315,30.73330937,30.22419402,31.26495019,0.032715425719999996,0.027901714280000003,0.010979924620000001,0.04510941675,0.03,0.03615459912,4.180970683,4.1860161719999995,3.781822963,4.647045382,0.45231420969999997,0.45217785229999996,3.781822963,4.647045382,/data/user/lrosenth/legacy/final_run/177830/177830_pchains.csv
97,177830,K,2.0,0.10777944060000001,0.1043940241,0.08952253732999998,0.1199868708,0.49619563450000004,0.49632901590000006,0.4781453221,0.5129394659000001,111.1446646,111.1628263,111.11054990000001,111.2269238,2455178.598,2455177.027,2455174.194,2455179.526,2.3124107730000003,-0.8965834481,-1.1961384290000001,-0.6221552078,4.732411539,4.400600521,3.7064554610000005,5.203582998,0.5995915722,0.539208812,0.3897245882,0.6601489524,0.54,0.6000397957,23.62703815,23.64844005,21.36741106,26.25097946,0.29336425190000004,0.2932978555,21.36741106,26.25097946,/data/user/lrosenth/legacy/final_run/177830/177830_pchains.csv
98,178911b,K,1.0,7.070601021,7.070754244,6.844405412,7.293239607,0.3399174996,0.3399135121,0.3344610176,0.3452358767,71.47895655,71.47900612,71.47715053,71.48083904,2450292.687,2450292.679,2450292.522,2450292.838,2.898075885,-0.242789964,-0.2676225085,-0.2184721488,342.70036469999997,342.6927702,341.8690562,343.50946769999996,0.1133308897,0.1132337103,0.1107218991,0.115766591,0.11,0.11442794140000001,7.991426604,7.9817982139999994,7.339233011,8.673057521,0.3846833889,0.3847993468,7.339233011,8.673057521,/data/user/lrosenth/legacy/final_run/178911b/178911b_pchains.csv
99,179949,K,1.0,0.9697516184999999,0.9667190039,0.9360821656999999,0.9970307916,0.044389948049999996,0.04439283533,0.04392800447,0.04484112086,3.092535175,3.092535031,3.092518552,3.0925516589999997,2453197.173,2453197.175,2453197.155,2453197.193,-0.9227494945,0.02057962641,-1.0712601640000001,1.065169573,118.4787495,118.12987520000001,115.29573119999999,120.92750919999999,0.008193208331,0.015502182230000001,0.004667134763,0.03298945883,0.0,0.02315751182,1063.330525,1063.301218,985.1162872000001,1145.8298810000001,0.11326414259999999,0.11326492310000001,985.1162872000001,1145.8298810000001,/data/user/lrosenth/legacy/final_run/179949/179949_pchains.csv
100,180617,N,1.0,0.06385363708,0.06192333363,0.043705847980000004,0.1493185623,0.3464626065,0.3465904501,0.3441076396,0.34903107409999995,105.7811868,105.8047186,105.7262835,105.8692615,2454707.732,2454707.769,2454706.536,2454709.517,0.157185039,0.1126586426,0.011270795049999999,0.2615797482,8.342459021,7.812952057,4.360777737,36.18904623,0.8510664670999999,0.843723386,0.7182459526,0.9591280581999999,0.98,0.9031233189,0.2929049339,0.2926456054,0.2775853357,0.3082860243,0.8791800817000001,0.8793747888,0.2775853357,0.3082860243,/data/user/lrosenth/legacy/final_run/180617/180617_pchains.csv
101,181234,K,1.0,8.341961067,9.126340109,8.291729395,10.74544965,7.438414143999999,7.433372416,7.3240482270000005,7.5416480439999996,7511.967121,7504.266562999999,7424.000187999999,7583.024756,2457683.587,2457581.216,2457315.954,2457896.191,1.6601926,-1.207250352,-1.460166667,1.31941557,130.04749640000003,160.031183,125.0991975,223.6383287,0.7351347021,0.7916678318000001,0.7089914297,0.8603567723000001,0.845,0.8344997482,0.015166316599999998,0.015186225119999999,0.014018582180000001,0.016441361,1.8430600380000002,1.842455697,0.014018582180000001,0.016441361,/data/user/lrosenth/legacy/final_run/181234/181234_pchains.csv
102,18445,S,1.0,31.58961836,33.73892905,29.47263517,40.85217313,1.208871121,1.208902892,1.192552187,1.2246494490000002,554.8475531,554.8344792,554.4529980000001,555.2426404,2453044.761,2453043.778,2453032.095,2453065.902,1.5984721919999998,-1.350877886,-1.505707133,1.2304969190000001,1176.666727,1336.759999,1063.702308,1941.280906,0.6086235109,0.6657806041,0.5679539773,0.7811275216,0.695,0.718923277,0.1889414046,0.18896682,0.16885650670000002,0.2112078218,0.981019697,0.9809867093000001,0.16885650670000002,0.2112078218,/data/user/lrosenth/legacy/final_run/18445/18445_pchains.csv
