,hostname,status,mass,mass_med,mass_minus,mass_plus,axis,axis_med,axis_minus,axis_plus,per,per_med,per_minus,per_plus,e,e_med,e_minus,e_plus
134,215578,S,1189.434040195211,1297.092615188265,1223.5467427799874,1370.3867426132565,20.488934459268005,23.85714395746601,22.612843480810238,25.26403774863985,22658.598670990927,28467.179734691294,26694.22189308163,30685.862641989414,0.3998831266040596,0.4589296356112281,0.44229590693627263,0.4785972720980901
135,216520,N,0.04008703899309117,0.035839201960612035,0.030732469529267795,0.041162965027151915,0.5798349117824115,0.5771359378991963,0.5692287327602802,0.5848517879437499,182.92525199491402,181.5662887740152,181.14106994702422,182.1923963592062,0.6694999730459745,0.5509823558910192,0.41517927447166897,0.6801313047149664
136,216520,A,0.033852359797060694,0.03265981532362736,0.029073410324363693,0.036263593972087865,0.1942339829684893,0.19423631203886305,0.19160012032688487,0.19679980991629245,35.46540673561607,35.46610163090922,35.45131984306693,35.480956911568924,0.31695223597959543,0.2061132099173969,0.07859873846128135,0.3374573502522769
137,216520,A,0.2104330877342504,0.1920445116085548,0.16560053442369754,0.22607438928152598,5.491149112100519,5.719031580777438,5.385548434889885,10.092556258737213,5331.040437065278,5654.265808127609,5201.569199003269,13286.07045967186,0.7651427180349496,0.6054718007517477,0.4372527277709821,0.7940330171149019
138,217014,K,0.4737537036544782,0.47352868358215294,0.4530010701023282,0.4936475686029419,0.05293059410633538,0.052932297817194884,0.05178274683864356,0.0540324558260866,4.230797893518624,4.23079778488407,4.230790465374419,4.230804983508634,0.0015478857224493453,0.004244456028217223,0.0012502214367039887,0.009028517694232241
139,217014,S,1.8286537189792933,2.0978568442539816,1.8093812439324064,2.5535090711882136,21.541924134459723,114.7396229061574,42.93015751797453,262.3588530261373,34736.72452811432,427347.0198623953,97869.27381712246,1476823.488567633,0.6012057317594753,0.9142531389503059,0.7599856285350551,0.9635700884904964
140,217107,K,1.431095206749,1.4316176443129638,1.3644448816782089,1.4969289327234732,0.07512548285197806,0.07513390748266896,0.07335074267747797,0.07682269640429422,7.126873762012285,7.1268750491651724,7.126868382883947,7.126881886352365,0.12833755240762565,0.12808186089045825,0.1263768327535601,0.12980348856952886
141,217107,K,4.451625619304704,4.4492881445550525,4.233453486619837,4.660173054339458,6.037946428488241,6.044655264711425,5.900796181945188,6.1810854497061545,5135.137003049645,5142.9340299632595,5129.701761513243,5155.97342245942,0.39646194975575616,0.3950634561974367,0.38824788717324,0.4019308362891264
142,217165,S,603.5530038329233,553.0167295133158,516.2165980995213,598.70443428673,37.07149357347994,28.35785594026672,24.27476443488769,35.795440255298296,80092.05032826035,53585.71320217666,42496.736777620914,75982.15246943246,0.6600230100494635,0.5673052743029957,0.5042855950376447,0.6489436595269722
143,218566,K,0.2111326269181602,0.20811442993402807,0.1864981743461201,0.2296403084019968,0.6886861855065409,0.6886320720987299,0.6804218541233578,0.6966404917626461,225.3369097183287,225.34923253842646,224.82353124604347,225.82423732435646,0.2760257588527679,0.2176602639959364,0.10521531903958432,0.32164132238359106
