,name,teff_c,teff_err_c,fe_c,fe_err_c,logg_c,logg_err_c,radius_c,radius_err_c,mass_c,mass_err_c,star,mv,bvcolor,parallax
0,10002,5313.75379506,74.930250015075,0.250666429362,0.05841707814027501,4.449037441134998,0.029609032661299998,0.949183602148,0.020533161123675,0.9275914485690001,0.039967703314925,10002,5.495244025442691,0.86,0.0292893
1,10008,5315.8823336999985,80.83420011975001,0.0238964576482,0.05914114804575001,4.55307332585,0.017508261574550002,0.8323472464139999,0.01415422777615,0.897308793081,0.0280424736458,10008,5.794267073333629,0.797,0.0415902
2,100180,5983.414310745,93.31788788985001,0.009490206554969998,0.059907758177875,4.36138015613,0.031620649340425,1.12454385494,0.025848883875175,1.06191757461,0.049056180329575,100180,4.38844909559201,0.57,0.042261900000000005
3,100623,5200.90528902,60.366375845250005,-0.321023950654,0.0591767160426,4.57630749735,0.0216782906514,0.7341820287749999,0.011934293121105,0.7478314987610001,0.0278307473764,100623,6.08263506137281,0.81,0.1047828
4,101259,5141.28823657,61.54231374840001,-0.634390563899,0.060776062000449986,3.17825590275,0.0590308886611,4.72359203952,0.114660074201,1.2279565897600002,0.14767163821200002,101259,2.42020113264291,0.82,0.014762799999999996
5,10145,5641.195444405,77.57427444545,0.004376314819745,0.057984020255000004,4.33331667077,0.027089448793799997,1.0795544273000002,0.0246418513475,0.9207225157985,0.035633320287975,10145,4.87922182992221,0.66,0.0266409
6,101501,5503.63281214,72.75055109774999,-0.009229729582469998,0.05778266180280001,4.519654350490001,0.0237559043721,0.876069270576,0.01737174794995,0.923434711216,0.0328609066871,101501,5.42201360491939,0.73,0.1043904
7,102158,5848.02615829,50.0002240698,-0.355737239256,0.0571341717934,4.21909797258,0.02048357884895,1.18387193415,0.02812387603175,0.8480141883560001,0.0157842877076,102158,4.4431105643903095,0.63,0.0194882
8,103095,5263.3343774,43.268088713249995,-1.14649104034,0.057461391967249996,4.68423892694,0.0168566837435,0.595521363771,0.004228386357169999,0.628367537474,0.01969357657565,103095,6.65676601023487,0.75,0.1089551
9,103432,5651.19709682,78.67088300265,-0.08602640028610001,0.058552659227250003,4.48338723273,0.0320740341408,0.909301050346,0.0200644847283,0.921525436449,0.044354355447000005,103432,5.37762292093726,0.71,0.0252384
10,103829,5785.04780944,89.6451159017,0.160294942097,0.059312472189849995,4.169617432880002,0.031951729128099994,1.42434266179,0.0337829748946,1.0899089103,0.0584270679069,103829,4.46802806297487,0.66,0.0099262
11,104067,4939.0137685,63.8400566162,0.08664113112680001,0.058696850439149996,4.56431705899,0.02362501871545,0.781188021487,0.0139005462163,0.8175426494529999,0.0299356246704,104067,6.33801499365434,0.99,0.0490793
12,104304,5538.6131113699985,83.2027135309,0.2943963132925,0.059699234411025,4.433833700139999,0.03071231184645,1.018598576445,0.0218676941621,1.025696605695,0.044797885908025,104304,4.98594806023537,0.78,0.07875650000000001
13,104556,4984.29553624,55.592254388650005,-0.389547063465,0.059669053799100015,3.28008935356,0.0486832395044,3.76439863954,0.08789285552869999,0.983394363704,0.10348246722895,104556,2.92238603120838,0.86,0.0175986
14,10476,5215.28244337,70.66455533915,0.00391018356906,0.0562307047852,4.51625339829,0.027689616443599997,0.835149258719,0.016691110649699997,0.841539789021,0.0331405701933,10476,5.8340650502077605,0.84,0.13149029999999998
15,104800,5939.08032658,55.9909137816,-0.622977054388,0.058457202661,4.36921164322,0.017267227487300002,0.95862636159,0.0166670594044,0.7880329488169999,0.016184769791049998,104800,5.23652458069242,0.58,0.0138715
16,105113,5827.61424278,98.69179712969999,-0.120168641559,0.0617865430938,3.97275492099,0.09888403275795,1.73242843508,0.2605251145655,1.0544119735200002,0.08481821799030001,105113,3.04794476271298,0.6,-1.0
17,105618,5699.62257508,89.94785612145,0.355280754907,0.055239493009199996,4.26798747329,0.029691239534150007,1.2946823803,0.03155457292425,1.1306666561499998,0.04620513605755,105618,4.51755906681724,0.66,0.01424
18,105631,5420.84776204,72.31558890015,0.203352701069,0.0582245065536,4.5019686854500005,0.02355429831225,0.919533839634,0.01713503690585,0.975457849221,0.0379893493471,105631,5.53762351426826,0.79,0.0398226
19,106116,5654.80766629,92.413436294,0.159955733478,0.06002773825355,4.34199197556,0.03222276712505,1.11485621252,0.0264730761589,1.00178587796,0.04661947135305,106116,4.8491100798908215,0.65,0.028985000000000007
20,106156,5417.31898795,76.66362980435001,0.21933088112,0.05998073902695,4.49231950002,0.02539095502135,0.929770630388,0.01732644189,0.975211472156,0.04050575062080001,106156,5.466012611655509,0.79,0.0309673
21,10697,5645.13416849,98.440245332475,0.159600922247,0.060195313996375,3.9577607836,0.0222875516477,1.8630758184349998,0.044764605995675,1.1558478748049998,0.032062715330975,10697,3.72839908221534,0.665,0.0301639
22,10700,5461.07261112,49.195203748125,-0.4167324821925,0.0580957652142,4.508268529735,0.01302206946725,0.7988196612535,0.010481045063895,0.7553487924585001,0.0154021385382,10700,5.6900996602316205,0.72,0.27396
23,107148,5752.91664391,86.2209568166,0.296357312307,0.058383065806200014,4.34502455503,0.027844360964,1.16919277612,0.0266971300911,1.1052147102399998,0.04301080242235,107148,4.47128634697259,0.66,0.0202077
24,10780,5312.3269659,80.58457761365,0.0546832322167,0.056240557027800016,4.5474082536,0.01956229027895,0.84227684935,0.01309462674595,0.90388146548,0.030167272234150003,10780,5.63520528993047,0.81,0.0995746
25,10790,5474.03590131,89.06971665834999,0.375339546384,0.056918562963849985,4.25223768911,0.0317929409299,1.24811201409,0.03581542843615,1.01965366081,0.04028530304385,10790,5.07527862885922,0.856,0.023540400000000003
