# threshold  best_bic
2.880432768426515366e+01 1.077263341275935318e+02
1.015900091874057765e+01 1.457336845418012672e+02
3.607355535426277271e+01 6.161701847992418379e+01
3.521338829785522506e+01 2.644141339920980727e+01
