# period  BIC_array
1.000000000000000000e+03 5.102709662247093547e-01
1.033085492023487404e+03 5.624369889458193938e-01
1.068435196184461802e+03 5.391216266864375939e-01
1.106289775081753987e+03 4.566825307060184969e-01
1.146925250726868171e+03 7.808497375953606934e-01
1.190659746160628174e+03 1.811083029262306354e+00
1.237861830643096710e+03 2.846217588501247064e+00
1.288960931786803485e+03 3.360426576348572780e+00
1.344460437615945921e+03 3.621768902882763541e+00
1.404954335782712633e+03 3.765350612893485049e+00
1.471148556509257560e+03 3.616792955980940860e+00
1.543888647266312546e+03 3.086557450823022464e+00
1.624196084664821001e+03 2.658222583397900962e+00
1.713316541058152097e+03 2.524975958541972432e+00
1.812784964159415040e+03 2.886858461113206431e-01
1.924514723484532624e+03 4.026884630269478293e-02
2.050921889025945802e+03 2.833956593059383522e-02
2.195101930755580725e+03 3.678117582126105845e-02
2.361086585902218303e+03 6.726563497772986011e-02
2.554226798862418491e+03 1.375667039283712256e-01
2.781780355554631115e+03 1.052230557867233074e-01
3.053844349058311309e+03 3.602075411140504002e-01
3.384894144846583913e+03 2.854404061610011922e-01
3.796445032544149399e+03 1.513038298680271510e-01
4.321924329117760863e+03 5.654330410555985509e-02
5.016239690276786860e+03 2.682746455279811926e-01
5.976335528328089822e+03 1.128470185555840999e+00
7.390943855002141390e+03 1.711469045567355352e+00
9.682902636639808406e+03 1.915245450796078330e+00
1.403530089050363677e+04 1.997517102670940403e+00
2.549523314113030210e+04 9.776458301171260246e-01
