,axis,msini_10,msini_30,msini_50,msini_70,msini_90
0,0.027000000000000003,298.6820359784105,443.38089753600514,631.8244856010335,932.82005413112,3019.713893375938
1,0.039649938036776605,304.5857113954584,443.27732274700804,605.0978451229595,836.0637698595423,2384.621640933694
2,0.058226577271119406,123.70463048941774,492.853605462422,656.6228027368626,907.3186299710777,1531.5992257002576
3,0.08550667336642473,417.29167533929717,606.9625980972127,825.5661997055367,1230.325249410475,3149.76127553747
4,0.12556793706331987,515.3405199800832,828.2036421051426,1234.5212417287566,2074.8676608502656,4108.111713219809
5,0.18439855273949987,600.0182304102057,1092.6075760538763,1502.1565629954578,2009.8192393101165,3551.9462853472796
6,0.270792266303424,846.3961261431433,1251.8734512573285,1674.8574074523442,2278.0451490558194,4481.366047744695
7,0.39766283628774335,1001.2943578867392,1393.5630148592527,1871.470158535485,2725.2539712226367,4794.967482423286
8,0.583974326605106,1151.0742545733126,1709.4010464004223,2218.145452105546,3428.344390977587,4901.198311146405
9,0.8575757727763256,1633.7715513269527,2377.5318627753104,3483.677352305519,4858.430501597512,7149.239581710369
10,1.259363935274893,568.133777288472,3712.7339025712995,4726.838215485418,6042.207016738418,7880.6167349702955
11,1.8493963703481713,1174.303978937519,4103.487294308776,5198.463538630796,9822.241490222385,25695.654629923472
12,2.715868573694241,2971.8914869448577,4752.128017939719,6559.997790995711,9833.256729721099,14739.782084275454
13,3.9882970615927977,3753.0740600897857,5919.57139532869,9674.167140683818,15810.18347709103,25838.079696606743
14,5.856878939422686,5363.267168523396,10865.291295147339,21628.695564892598,43054.572503521806,85705.40964430176
15,8.600921742111536,12131.539132228381,72770.65223191322,436512.4464866916,2618406.0482315617,15706425.52943711
16,12.630593116069885,inf,inf,inf,inf,inf
17,18.548230904441027,inf,inf,inf,inf,inf
18,27.2383780019597,inf,inf,inf,inf,inf
19,40.000000000000014,inf,inf,inf,inf,inf
