,axis,msini_10,msini_30,msini_50,msini_70,msini_90
0,0.027000000000000003,14.794831566795132,21.64421863007226,30.42687665025886,53.56436799298854,350.13107889467756
1,0.039649938036776605,16.599742622382323,24.77120590440533,34.83082628938458,49.88433924117297,1733.731955887808
2,0.058226577271119406,18.297919381637186,27.070143098552112,37.12040472774209,51.30104963241116,680.981301896933
3,0.08550667336642473,22.97659438602749,32.98260315217482,43.53183872478412,58.46250811604198,1986.2265578765382
4,0.12556793706331987,24.580154312840463,37.51439452650465,54.28040577941078,78.17385956831333,413.5398915154621
5,0.18439855273949987,31.54677721713468,49.40800845270467,71.39539817574791,94.40875411874836,3712.7339025712995
6,0.270792266303424,39.41642549003796,58.64210389943962,78.44977379533633,100.20658315259132,250.65846951802885
7,0.39766283628774335,48.45532283965829,61.59506173439378,79.99581863293217,105.94427453405444,260.64402090729203
8,0.583974326605106,49.620358271092186,65.87421836051297,89.15634247246547,125.54375121821313,485.2565022328968
9,0.8575757727763256,54.43488114891778,81.24743545603886,116.53544866668844,155.70779322329327,249.35629273578243
10,1.259363935274893,73.59571144576168,111.08636916620911,138.33444438876148,177.43996758101417,476.64760983826403
11,1.8493963703481713,107.52243254722282,138.23810195579244,180.57700942138266,248.19692242598654,731.0425417015152
12,2.715868573694241,122.88338898884524,187.13975973345092,274.19218417149085,430.21191316177254,907.0275930390995
13,3.9882970615927977,193.70707254720236,332.7296160948404,592.7953212229622,1040.6304414993929,4267.0025554649765
14,5.856878939422686,246.00367768635317,952.0770018920251,1343.1541251557694,2360.8375252070964,10824.581975623198
15,8.600921742111536,555.4876497941082,1394.6708359635625,2082.7908656972936,5988.942094633035,30543.56287314926
16,12.630593116069885,815.1518723600068,1882.7141881031598,4977.492546338125,11251.954051576728,22700.70446126061
17,18.548230904441027,1221.4384442751746,3111.213030183406,9988.114936621103,21145.545268882084,44766.613876151736
18,27.2383780019597,3823.9491923243786,16862.520340263403,72975.27940191096,315812.30423018575,1366728.7377397506
19,40.000000000000014,19594090.11029767,1.8829360199921943e+18,1.809447662752511e+29,1.7388274532313457e+40,1.6709634516378203e+51
