,axis,msini_10,msini_30,msini_50,msini_70,msini_90
0,0.027000000000000003,14.10719057844359,19.691344763733312,25.40940100090624,36.37614618415287,123.65659814316717
1,0.039649938036776605,14.407000282463713,20.573450219815626,27.324475342224197,40.4615290285524,97.91445061967626
2,0.058226577271119406,17.19821214591542,23.490884779353735,32.78804530930925,52.87720843786642,1531.5992257002576
3,0.08550667336642473,19.482848069372125,28.879461576126804,41.89982116744003,63.55396009514103,126.68109268198948
4,0.12556793706331987,23.987729359563076,35.6978261093102,49.25141034338156,80.81471423491243,122.40749088111822
5,0.18439855273949987,31.458375691832956,43.10383256793553,60.32179337178457,88.9962790865005,449.02500962404497
6,0.270792266303424,35.782343756386325,52.880944398907175,70.36661319851295,101.61272310816007,704.5722292798343
7,0.39766283628774335,48.14020988654157,70.23659571740492,95.20512562611749,136.3136264700625,896.4789149452058
8,0.583974326605106,66.8042607654447,86.3478989172739,109.84592715154388,158.66599358826412,495.3577374803055
9,0.8575757727763256,78.83118360682705,111.22315473526669,156.0114561460564,215.70998044252167,525.6082521374378
10,1.259363935274893,84.59612665895926,125.79420789618446,181.0106760244563,245.87410641491962,468.60969676517965
11,1.8493963703481713,108.54150413370887,151.4773945900309,197.13957321931585,249.00205873633755,2364.908471604464
12,2.715868573694241,117.14387768340112,184.20638597165018,260.64402090729203,432.66199471223945,2333.0221731149923
13,3.9882970615927977,102.86595131773696,240.09820849075385,436.75112349080496,735.8124315188619,1477.0330632063292
14,5.856878939422686,296.0717929418908,517.9240101654808,926.8035970486557,1879.1762923414342,7648.59540862996
15,8.600921742111536,483.47154316345205,1302.6808514897386,2225.0037532626425,9231.935445886176,29758.03430382333
16,12.630593116069885,1666.523369640062,4573.878458361009,9354.199812845274,19327.351482348113,39933.56169378225
17,18.548230904441027,3925.1058172203807,22147.32440768762,157973.41664263984,1126799.784315555,8037287.417830507
18,27.2383780019597,5360.115734869244,69768.11790329634,1050005.7923636998,15802521.225031165,237826951.8927227
19,40.000000000000014,12876.276453268474,100969.46252299499,791753.143789848,6208540.929475001,48684341.54673529
