,Unnamed: 0,inj_period,inj_tp,inj_e,inj_w,inj_k,rec_period,rec_tp,rec_e,rec_w,rec_k,recovered,bic,bic_thresh,inj_msini,rec_msini,inj_au,rec_au,inj_insol,rec_insol
530,2002,25497.20106837545,17747.952502885306,0.38005278806031895,2.2386637438719004,9.718794577670936,,,,,,False,2.1400006017976807,38.7840127003538,259.3865129192925,317.8284065946748,13.416342630319564,,0.00020337734889076217,
531,602,2.5598277884255056,0.023320150998844272,0.2589483414899073,1.4948528413414601,430.0691983325978,2.5598311748419067,2455199.9766986347,0.26816717239319543,1.5245256414144943,440.55007928108284,True,46.39852362304314,38.7840127003538,557.7479425642039,569.8785701274904,0.028980973373599124,0.028980998933032555,43.58579057892896,43.58571369906544
532,613,13.602738637395873,13.439923818682793,0.2486191698026701,1.8465048811880511,270.2510709846876,13.602686196382532,2455199.3649497386,0.23478860787496786,2.0591241071466664,281.21065144114755,True,39.24823603964461,38.7840127003538,613.460400486853,640.6780760078096,0.08825175908789057,0.08825153227010174,4.700284242609613,4.700308403310769
533,2228,7.029793304315615,1.55805036915527,0.057196114602434615,2.3567728441138165,147.38671621129848,7.029740545612874,2455199.395588316,0.033883187799947256,2.6498836070850027,150.39385315089137,True,84.85290970266661,38.7840127003538,276.3564879852708,282.30126944444294,0.05683303368708369,0.05683274933155565,11.333634055844787,11.333747468959473
534,1573,500799.28752857976,62141.93231386692,0.5128763426708536,4.905956948588483,64.07852828952515,,,,,,False,2.06820041285863,38.7840127003538,4352.964035065058,317.8284065946748,97.66709491447435,,3.837729175092509e-06,
535,1587,55549.46736188664,18659.148084297827,0.09966164855288114,6.1003127361906815,16.94297325486422,,,,,,False,-0.5897872380927254,38.7840127003538,631.5565514139088,317.8284065946748,22.547188780263067,,7.20088808864917e-05,
536,2496,257072.70118311676,204502.4489786185,0.44661735915100426,0.35843059571632946,12.577019358288036,,,,,,False,1.1303838791282317,38.7840127003538,702.7063873860715,317.8284065946748,62.61471992054095,,9.33722832839351e-06,
537,1136,930.8646165738456,178.85442315683517,0.05163233188795815,4.283003284825578,0.6657096083081067,,,,,,False,-3.655589535322605,38.7840127003538,6.357250317226745,317.8284065946748,1.4764887764570649,,0.016792314657131376,
538,1993,571525.5152724485,25495.824561778354,0.3601542071061679,3.5395532889213923,0.4886060029468903,,,,,,False,1.4702902627933554,38.7840127003538,37.05028632580324,317.8284065946748,106.65868319806536,,3.2179436021452773e-06,
539,2623,6068.041547658702,1837.480399431792,0.2267194438994425,1.2255062339547118,131.14876989973092,,,,,,False,22.368141397048674,38.7840127003538,2302.8123806113194,317.8284065946748,5.152343772986406,,0.0013789902616616414,
540,1596,17.454160120587222,4.327461509300837,0.16039266782409256,4.009319731824368,9.079165831657482,,,,,,False,-2.429882907849276,38.7840127003538,22.76758521065446,317.8284065946748,0.1042089705229063,,3.371014747686369,
