,Unnamed: 0,inj_period,inj_tp,inj_e,inj_w,inj_k,rec_period,rec_tp,rec_e,rec_w,rec_k,recovered,bic,bic_thresh,inj_msini,rec_msini,inj_au,rec_au,inj_insol,rec_insol
61,2383,5560.0457061610205,5201.116505577555,0.3771085503221452,4.07467078164226,10.601274577650603,5617.071889648282,2452122.4059241507,0.5333354326623629,-1.3206757716245614,15.380104431362446,False,75.5963004235474,38.707019944075604,272.0758307130648,361.807105624497,6.141183433451491,6.18310303112935,0.0187793985720002,0.018525624292701864
62,2003,5645.574211149217,319.0218885346689,0.20493013691355005,2.5562936940578784,0.10600620825591693,,,,,,False,-0.3177285823645093,38.707019944075604,2.888233558205298,317.8284065946748,6.204001711446077,,0.018401024388950343,
63,2977,1110.1571512930168,554.0787629928154,0.339220091150336,5.007925176067627,1.4534085518689184,,,,,,False,-4.299068143551011,38.707019944075604,22.13273358138111,317.8284065946748,2.097922637129485,,0.1609188353008603,
64,1840,14.848753597892216,13.148784848479616,0.6316954063878897,3.8905989978328432,48.95528963080058,14.848811723456686,2455210.0637659654,0.6149980469978441,-2.41224236286039,48.99521618858258,True,683.4180184383848,38.707019944075604,145.86748416102714,148.49428903574278,0.11821152742472628,0.11821183591783675,50.68344900982487,50.68318447667876
65,1409,394417.05062734365,51154.383261061535,0.2407148301980975,1.15517303477487,664.2757283808537,,,,,,False,17.094670146739332,38.707019944075604,86184.49685376864,317.8284065946748,105.23744188349824,,6.395069276402835e-05,
66,1275,182653.03675890688,68506.03253290572,0.6726975964711059,0.8109136873674047,988.9230660432597,182647.40087055977,2393250.9114869717,0.00017737085163436523,0.8774340352543931,7561.439278143803,False,853.1867420867493,38.707019944075604,74226.98933457323,-330288.4941487359,62.99185918935915,62.99056341051639,0.00017849126421691852,0.00017849860777983183
67,1472,9.56644664798476,7.077885879220723,0.4642597436106222,1.706688861685126,32.20625783660427,9.566899927074923,2455197.5355119444,0.4593741577120106,1.7085106716035263,35.752975173832326,True,501.48799189528063,38.707019944075604,94.68283618921889,105.41560338048063,0.0881793576984259,0.08818214309652009,91.08606837752168,91.08031422037851
68,2908,66.733070902958,3.882208523255375,0.4647527358301025,1.780118853308884,67.66408462269504,66.73333685626325,2455179.925668317,0.4660975182362641,1.7522651961937872,67.51334153164393,True,2276.2942623846193,38.707019944075604,380.19590017846,379.0455579185412,0.32192934718846233,0.3219302025176708,6.8338380253235576,6.833801712026711
69,1706,18764.245600984385,516.6044683014759,0.15051742722812442,3.587856996350208,269.2019602667685,18885.60566246375,2459274.9090230158,0.19824723927031326,-2.35796634105084,268.7512498983036,True,976.3523420890916,38.707019944075604,11304.808349867437,11211.397548190933,13.817216663685004,13.876728991115296,0.0037097503413808072,0.003677998988053153
70,331,17.422733943234668,2.618912718708779,0.009246470620108835,1.6005782710887464,24.994597880445447,17.43642520081344,2455196.10409585,0.16122134424813422,0.3767900542071592,21.412751399238054,True,214.54429299364887,38.707019944075604,101.31335475055192,85.68265079915375,0.13150553477443114,0.13157441950198712,40.954134802053574,40.91126361260899
71,151,39371.64115394498,32470.41474080027,0.018252685896897217,1.7878025094452088,597.4333117912404,39625.76359264695,2457544.2224809574,0.011519118013023643,-0.7710774804732208,603.3512611565927,True,2343.368246202854,38.707019944075604,33889.73913761163,34329.793517025086,22.64586117543703,22.743201092992,0.0013810459783447527,0.0013692496422090285
72,2106,1512.3524116235135,773.6097508728905,0.10603360798551792,1.598935656206676,0.6389323783566387,,,,,,False,1.2126962544655555,38.707019944075604,11.400908270543232,317.8284065946748,2.578112298957036,,0.10655704234147967,
73,1974,3664.2808348411513,564.6443267602966,0.04846764635077284,2.5976999513853123,130.59948841033352,3655.011945038918,2455308.9617426167,0.12939417452751667,2.02737441522182,115.2607249874098,True,2685.557216253797,38.707019944075604,3163.822516134604,2767.5013177041924,4.65077856992392,4.642932419465813,0.032744208239002745,0.03285497145674382
74,496,186.0302024019019,126.64283885180694,0.1315429002626344,5.161275647228243,0.10326672155353267,,,,,,False,-6.112774522384285,38.707019944075604,0.9135750796011729,317.8284065946748,0.6376594510392235,,1.7418398290898658,
75,2763,6769.989970868414,5354.168973170532,0.184610194029808,3.699816340666224,0.1338365145226245,,,,,,False,-1.7257681722192617,38.707019944075604,3.8900626207055855,317.8284065946748,7.0025869823862115,,0.014443378573654438,
76,656,107.15659525576315,43.61004987151343,0.13375773112408934,0.8111135613632539,9.56910922460146,,,,,,False,19.642866208383168,38.707019944075604,70.42568907148234,317.8284065946748,0.4414475382278825,,3.63435729133842,
77,1080,28570.115368117666,2490.089884039385,0.5738321179117121,2.1457862349883268,4.066521440004445,,,,,,False,-0.7712773966080704,38.707019944075604,159.21377952821862,317.8284065946748,18.286944968494662,,0.0021178905031248307,
78,495,6675.2683092541065,6407.667688261845,0.0578760326666106,3.401254262615165,162.33318921141796,6674.291272711167,2454502.7326487275,0.057267366548672816,1.860208281560867,163.5484324089819,True,1419.5387179040713,38.707019944075604,4816.231042531811,4852.567854470859,6.937116367034201,6.936439442279418,0.014717290403884925,0.014720163054730938
79,1896,18372.64332249712,2575.9560959226073,0.19688972523181086,4.14868756792871,10.36548764614404,,,,,,False,-2.3025170238416024,38.707019944075604,419.57083305213484,317.8284065946748,13.624301877584353,,0.003815551353899733,
80,2760,887449.8192336061,604776.8055198576,0.33620335829704256,2.034458789266647,0.4483241176610544,,,,,,False,-1.2064995507710703,38.707019944075604,63.43971750499416,317.8284065946748,180.70175287930593,,2.1690076712944588e-05,
81,1584,235.12649956493718,42.53419570293438,0.04114879760747786,2.6144888191221534,52.4761995462138,235.33547227869173,2455190.4272073787,0.03172835982719492,1.3962200876745574,51.316676783792246,True,1191.0048664947144,38.707019944075604,506.4237266352332,495.5398956246041,0.7454197251773043,0.745861329499586,1.274629769068769,1.2731208682598267
82,393,12.585002899663918,9.61112525751636,0.7758342442424027,5.326117233542432,997.0716110054996,12.584990104894647,2455192.229988216,0.6930403660464951,-1.412663579940432,950.0068830194645,True,374139.1860994792,38.707019944075604,2298.095133948749,2502.8427001284517,0.10586897504060336,0.105868903284861,63.19000675581697,63.19009241359256
