# period  BIC_array
1.000000000000000000e+03 2.667512323720964673e+01
1.033089026241608508e+03 2.286748988356521295e+01
1.068442756654195819e+03 1.948592096066352042e+01
1.106301933670328026e+03 1.837427440589908656e+01
1.146942675059613293e+03 1.729418883341014634e+01
1.190683219411856044e+03 1.760459491416844457e+01
1.237892276318554423e+03 1.488942136047060671e+01
1.288999445009671945e+03 1.588226210997643761e+01
1.344508324970732701e+03 1.616693800123368874e+01
1.405013166541617466e+03 1.582165178752339330e+01
1.471220229174744873e+03 1.505741081129761483e+01
1.543975476985263185e+03 1.396357792732152348e+01
1.624300919479964477e+03 1.265636898061396209e+01
1.713442918610371862e+03 1.125300360847722914e+01
1.812937326085781478e+03 1.001548211787164178e+01
1.924698713642137136e+03 9.407261016599960612e+00
2.051144776035029281e+03 9.155730310020715024e+00
2.195373219211355718e+03 8.957904105733376809e+00
2.361418921448945639e+03 8.729921164002149681e+00
2.554637344699741789e+03 8.578169184319619944e+00
2.782292951333300152e+03 8.610513180471201622e+00
3.054493020335319670e+03 8.794234024778063485e+00
3.385729054170553809e+03 9.081355837124988284e+00
3.797543094895915601e+03 1.147576063955958148e+01
4.323409355252181740e+03 1.174354285316269397e+01
5.018323683474844074e+03 1.202409567492261999e+01
5.979412235430417240e+03 1.242081156127451891e+01
7.395831166206888156e+03 1.227464619670416823e+01
9.691603825342199343e+03 1.176469023502116329e+01
1.405424379398984638e+04 1.101962976307601139e+01
2.555997124000219628e+04 1.412087634816532500e+01
