,Unnamed: 0,Unnamed: 0.1,P,e,M0,w,K,v0,dv0_1,wmod,M,a
14,14,14,34191.76624121925,0.6772716562086308,1.1945700720862318,0.3708742317414133,34.182731454014444,52.0637947419296,-5.264370676949463,0.3708742317414133,3.8799822603951446,20.263857616653997
15,15,15,15645.072146884248,0.5150378058104131,2.6328408699310826,-2.7264039183987974,29.155537080300952,39.73307393018892,-4.938063131027173,0.41518873519099575,3.1706699770749793,12.430280871830888
16,16,16,25798.27776226357,0.5978387776104039,1.6323523406034637,-2.645079706217122,35.052959656963374,50.84919086548491,-4.013084842786907,0.496512947372671,4.229346781163031,17.385867671669825
17,17,17,16816.416710191894,0.5081291979456494,2.4595783226737282,-2.6584268093391628,30.3534209418114,41.01522420829169,-5.72814279990041,0.4831658442506304,3.310648597824321,12.87529093557753
18,18,18,20183.814459091507,0.5716209718476472,2.0064904634223035,0.2933651918940585,29.980732696746298,42.90922204615587,-5.411469801011838,0.2933651918940585,3.352851555053479,14.633683522593001
19,19,19,17041.982165685342,0.5438184479851175,2.5088956898290613,-2.395551486068784,33.77998981506281,44.315972527148695,-5.497466275355089,0.746041167521009,3.4631589801407023,12.730428516168043
20,20,20,18418.389864745037,0.5939087967187072,2.3650907749795933,-2.186939403221861,39.5629416480721,50.05565228767885,-5.541248044175194,0.954653250367932,4.278180322701545,13.881913114304385
21,21,21,22482.556858304488,0.5492116242497506,1.903652364925676,-2.5335645932224407,36.15412747913209,49.86900610066968,-4.171427314642858,0.6080280603673516,4.048204972189494,15.313141269499225
22,22,22,23303.55575762999,0.5827204928242415,1.7176589812408212,0.17854845015795595,29.48715658124307,43.7202600543484,-5.640692330996393,0.17854845015795595,3.668372444216965,16.664164237800797
23,23,23,11514.471552617195,0.44082226070549785,-2.691213797364545,-2.6033588677672443,27.115049165810237,33.80453650782147,-5.935144527139967,0.5382337858225492,2.5177603216705413,9.629282484477246
24,24,24,10701.850665264616,0.4413988537482328,-2.340164632972731,-2.3692190915481413,28.14182831106541,33.502744381809414,-6.884963568657372,0.7723735620416523,2.7734253518386334,9.565331567694738
25,25,25,11190.907989694531,0.414529281133492,-2.4272341701560296,0.8912458087996749,29.099152185173963,33.60935983376776,-5.959582789650137,0.8912458087996749,2.7620298321558407,9.532073775623964
26,26,26,13449.631325572194,0.490373159558522,-3.0916653477208578,0.8172148667472691,31.21884753883424,38.94841989617342,-5.585881628217468,0.8172148667472691,3.3253065286106955,11.311905514586467
27,27,27,11809.139083071042,0.4832454286612751,-2.670118819716397,-2.278572253686157,30.1155492111872,35.87006679276645,-6.730466375236388,0.8630203999036365,3.0247038091560983,10.269299342426978
