# threshold  best_bic
1.543191489623854906e+01 3.939997718332351724e+02
1.560630012881535222e+01 5.225838866126582616e+01
1.584743320635178776e+01 2.171961214199586720e+01
1.789966660582618374e+01 1.691085043372345353e+01
