# threshold  best_bic
6.076754056698398188e+01 1.975544765182458832e+03
7.166440140253595814e+01 2.893719979487077580e+02
6.404909342968230135e+01 2.414602660565979022e+02
6.317163960471800976e+01 6.865542227329569869e+01
5.440143322970614292e+01 3.459689291426911950e+01
