# threshold  best_bic
1.886698613826640170e+01 6.392534113973579224e+01
2.013909526214024481e+01 4.892792090134071259e+01
1.963110414766758893e+01 2.819935359081432580e+01
1.973452775105378265e+01 1.692654248673761685e+01
