,jd,mnvel,errvel,tel
0,2451341.972222,359.06993845374626,1.4256009378237982,k
1,2451369.915775,-160.00353261558968,1.3824114244694137,k
2,2451372.890706,-239.31732961266,1.1101586513211723,k
3,2451373.807905,-253.12299367516,1.3994131665592187,k
4,2451411.81088,340.397758277965,1.1352687396270273,k
5,2451706.054363,348.94457224280876,1.4887901147099922,k
6,2452062.016215,356.47154978187126,2.522672446620197,k
7,2452128.891563,357.550590309215,1.2262615248790034,k
8,2452446.970984,-272.22132131187874,1.224542532288071,k
9,2452515.819479,-192.27875539391,1.6241586347988328,k
10,2452805.089907,-294.03931447594124,1.1283037026002705,k
11,2452849.928738,354.12975290687126,1.416509822820771,k
12,2453180.057662,-52.83808156578499,1.1727622091488255,k
13,2453552.033507,300.97082778629,0.9964574158771391,j
14,2453961.824988,-183.42854774482777,1.012914447655692,j
15,2454338.959919,302.7094868746523,0.9611503636420925,j
16,2454343.819988,355.7294785499515,0.9797538062276665,j
17,2454430.703843,236.03394045912023,0.9201879293871672,j
18,2454807.692176,-300.5287960088974,1.0731138206223507,j
19,2454955.133217,-317.2317933436976,1.0630944820106034,j
20,2454956.047744,-312.2078128035365,1.0581731676800976,j
21,2454957.039508,-300.439561176977,1.1286997118848927,j
22,2454986.04386,342.3726870632698,0.9345722090758789,j
23,2455042.98106,74.12482001121117,1.1814726183143995,j
24,2455172.69363,-275.74685837279577,1.0878642867059016,j
25,2455290.127774,204.23906388202678,0.9529443425643409,j
26,2455321.952974,-130.96925731176862,0.9868299280482782,j
27,2455467.714582,-43.49590138079141,0.922392174089454,j
28,2455469.725242,18.170261467682234,0.9863953625375192,j
29,2455704.071411,363.46669008041624,1.1238973527892284,j
30,2455726.987302,-43.031880902216045,1.0207204744570377,j
31,2455768.753728,305.4062007606149,1.0486058197279986,j
32,2455798.73431,-46.262848443532114,1.0591870684501168,j
33,2455842.748476,335.63383111726,1.244056180459308,j
34,2455880.761771,-312.4631255282549,1.0208165526768511,j
35,2455903.686414,149.19202616423746,0.9522800163288065,j
36,2456000.105866,289.6240580983496,1.1082705699061215,j
37,2456028.14157,-317.55540067740696,1.11182612024135,j
38,2456114.096176,46.81716452739444,1.2486924697675847,j
39,2456448.858995,-258.4475941721294,1.1574936972357803,j
40,2456880.776294,-300.436482409403,1.1365044359140533,j
41,2457232.970323,-197.94883309814787,1.0556469210107275,j
42,2457594.9479879998,-295.6424555383708,1.3745309904532896,j
43,2457855.141042,337.63262688221994,1.0748465254625539,j
44,2458300.130045,-42.077089100716734,1.2497342384261403,j
