,jd,mnvel,errvel,tel
0,2451171.164306,-193.76176115317128,3.595181400356235,k
1,2451228.001308,-230.78611418051503,3.214564277620429,k
2,2451310.786111,-256.3675045613744,2.909535878033105,k
3,2451552.110845,-315.30816313071034,3.3848606857336425,k
4,2451581.004039,-332.0563015584447,3.0497904557166655,k
5,2451706.82206,-327.154766524265,3.2540461458805194,k
6,2451898.146644,-350.62090727133534,3.8161710583420603,k
7,2451973.02941,-346.09896513266347,3.8381013298780116,k
8,2452064.830891,-382.76202055258534,3.1798560032963787,k
9,2452098.77265,-358.8919720296361,3.58709798806953,k
10,2452100.752002,-362.8256344441869,3.5193687075994373,k
11,2452307.975799,-380.09211012167714,3.3508344622805795,k
12,2452601.147604,-375.8756374959447,3.253582637646668,k
13,2452653.990278,-378.9212040547826,3.408861075714773,k
14,2452805.780185,-393.023346388767,2.8756698868772617,k
15,2453015.10272,-394.5444645528295,3.0983478707142953,k
16,2453017.10691,-390.2704357747533,2.835682455655531,k
17,2453153.808773,-403.8651966695287,3.033900695779104,k
18,2453397.990162,-394.5361535783098,2.0350662003594344,j
19,2453480.854606,-376.4293794334717,1.8951704219408139,j
20,2453546.776516,-370.76540470948214,2.0824930709618656,j
21,2453570.742176,-368.7868165333905,2.6283111857193537,j
22,2453693.145995,-367.93034765556115,2.098723681697131,j
23,2453749.934144,-384.9810210702388,2.4159498735375893,j
24,2453837.809744317,-359.7222159787775,1.861838016740235,j
25,2454131.032257,-350.9988913182714,2.540280422029067,j
26,2454934.888263,-295.1873593561012,3.4467563937617327,j
27,2455016.755667,-289.7524040913485,2.8510645131496584,j
28,2455190.05538,-277.6704490620215,2.2672322534467346,j
29,2455193.160928,-268.16245777872444,2.258538554420662,j
30,2455342.863854,-260.37642515262513,2.543355990593479,j
31,2455522.143581,-229.63003998222075,2.481635512387457,j
32,2455734.779256,-194.5312447858705,2.33561427625672,j
33,2455904.138912,-174.45417536260322,2.3458727147278906,j
34,2456076.768929,-146.76831597961174,2.4857633467304825,j
35,2456640.02376,42.74600164409105,3.5567159788872393,j
36,2457215.742866,417.7069516778251,3.994559545182739,j
37,2457775.910939,5266.165101496598,2.5861934164752136,j
38,2458427.119229,-87.00245509161226,3.449429814146037,j
39,2458491.949222,-141.55276771582265,2.585798006724807,j
