date,observation_id,tel,jd,mnvel,errvel,cts,mdchi,bc,svalue,svalue_err,trv,trv_err
2005-02-24 09:32:28.203,j06.329,j,2453425.89754865,-1139.56780281055,1.44411277770996,45704.0,1.19525635242462,-14435.697,1.02,0.001,11.02,0.1
2011-12-08 14:53:14.290,j138.672,j,2455904.12030428,303.032242869134,1.40173482894897,53991.0,1.48077261447906,11656.333,1.26,0.001,11.96,0.1
2009-10-29 15:17:49.159,j78.238,j,2455134.13737453,-209.476104871007,1.35123121738434,53589.0,1.4391462802887,19797.016,0.964,0.001,11.8,0.1
2010-03-03 11:08:30.271,j839.156,j,2455258.96423925,-136.784266492216,1.39882743358612,46272.0,1.27751469612122,-16141.588,,,,
2009-06-01 07:11:22.585,j70.143,j,2454983.79956696,-294.565477247835,1.14416217803955,53354.0,1.4112434387207,-13241.543,1.03,0.001,11.31,0.1
2014-02-21 13:19:23.649,j187.452,j,2456710.05513483,1128.05775270786,1.65828514099121,54793.0,1.5136855840683,-13744.778,1.143,0.001,12.83,0.1
2019-10-20 15:39:00.085,j348.139,j,2458777.15208432,-2416.55567397517,1.78369200229645,26950.0,1.32038366794586,20445.616,1.108,0.001,,
2010-11-17 13:22:44.143,j857.157,j,2455518.05745536,33.3385987967397,1.22682201862335,86166.0,1.73112607002258,17031.594,,,,
2011-11-11 14:39:44.958,j883.226,j,2455877.11093701,296.660066234788,1.14059495925903,65764.0,1.4377373456955,18146.258,,,,
2004-12-29 13:36:57.119,j04.475,j,2453369.06732777,-1174.48953772215,1.37766075134277,69975.0,1.35319638252258,4491.408,1.18,0.001,11.09,0.1
2013-02-20 07:32:51.586,j167.109,j,2456343.81448595,688.357782418547,1.53068733215332,52501.0,1.35447239875793,-13272.978,1.15,0.001,12.19,0.1
