,jd,mnvel,errvel,tel
0,2452062.782454,73.62739826467077,2.105865280832605,k
1,2452095.793391,100.48979450490515,2.8426773619676964,k
2,2452097.774525,84.65671039845984,2.2493220078114566,k
3,2452236.151296,126.6301143291239,2.279021939022379,k
4,2452334.914294,103.91127277638952,2.453393831176594,k
5,2452363.018056,89.2955196025614,2.115253279943113,k
6,2452389.971366,143.23713947560827,2.1452711011970695,k
7,2452390.992049,150.7009914043192,2.302096421704276,k
8,2452446.785475,102.66504169728796,2.141858886675395,k
9,2452603.154873,137.0995204570536,1.9530676107516636,k
10,2452712.937581,140.08027912404577,2.002910671537086,k
11,2453044.949225,134.7962520244364,2.2475581714138584,k
12,2453370.031771,115.18643248340072,1.6074293571821667,j
13,2453747.16307176,114.38072219369232,1.6882593773817414,j
14,2453748.016319,132.7774021134611,1.2194638963525002,j
15,2453749.909792,-551.1846112102012,1.8626675360557587,j
16,2453750.92662,-531.9211689859949,1.7384519863089214,j
17,2453753.08184,127.06679024005999,1.3588510344410887,j
18,2453754.047419,90.62176204818792,1.4046185292057598,j
19,2455905.100803,139.02108279507604,1.621197103895297,j
20,2457422.962299,116.27564682003339,1.764914741945162,j
21,2458491.94648,103.0697343077403,1.6331380737823924,j
